stratum,label,n_corpus,novel_r,novel_r2
freq_1,freq=1,34867,0.231138,0.053425
freq_2_5,freq=2-5,12118,0.177878,0.031641
freq_6_20,freq=6-20,1567,0.0743,0.00552
freq_gt20,freq>20,398,0.093533,0.008748
all,all,48950,0.244419,0.05974
