fold,epoch,train_loss
0,1,21.952111999529468
0,2,21.019098997833595
0,3,20.578310792485876
0,4,20.180842512506658
0,5,19.83942791231126
0,6,19.55170616624787
0,7,19.282147256704256
0,8,19.029855867101038
0,9,18.814475047134824
0,10,18.606766502089616
0,11,18.442528191035723
0,12,18.262798289095763
0,13,18.1087123452393
0,14,17.971222433888713
0,15,17.856546757418222
0,16,17.72779598545274
0,17,17.62739636057078
0,18,17.52761594186324
0,19,17.43817250855289
0,20,17.34485536062633
0,21,17.27727529677784
0,22,17.20885709897823
0,23,17.118369674255074
0,24,17.06326849367887
0,25,17.000579995229334
0,26,16.952023774903033
0,27,16.89019628345592
0,28,16.835217637083097
0,29,16.795420161614445
0,30,16.733813231733418
0,31,16.701245274264224
0,32,16.65247339373997
0,33,16.609522704770992
0,34,16.56734153059924
0,35,16.53398118528152
0,36,16.497488865725387
0,37,16.455346902498718
0,38,16.428325659969218
0,39,16.38216784245042
0,40,16.35201952705065
0,41,16.322759993072733
0,42,16.298130618193223
0,43,16.263638056836264
0,44,16.23836170136291
0,45,16.207368716854496
0,46,16.17482199864722
0,47,16.161823570352606
0,48,16.134063855024067
0,49,16.109643605184996
0,50,16.07880746445691
0,51,16.056633675013153
0,52,16.036485784398618
0,53,16.01237268696269
0,54,15.988486686250356
0,55,15.964824514682865
0,56,15.944224064410513
0,57,15.922568186199708
0,58,15.910407891856213
0,59,15.887404137408222
0,60,15.869920957269873
0,61,15.839802050078912
0,62,15.832126507579149
0,63,15.804538340135343
0,64,15.789188888925196
0,65,15.76871424043498
0,66,15.748636602763717
0,67,15.73297836536105
0,68,15.719328055104448
0,69,15.704496515127255
0,70,15.676249930563952
0,71,15.679473397007552
0,72,15.65329682358669
0,73,15.634906890343325
0,74,15.62151471880851
0,75,15.603931877518077
0,76,15.590002189277767
0,77,15.575825798841317
0,78,15.557684201583468
0,79,15.541537461156658
0,80,15.528682806327339
0,81,15.511624411427377
0,82,15.504837650349467
0,83,15.48347095285864
0,84,15.47618261844156
0,85,15.468523413835582
0,86,15.451853860807681
0,87,15.435463685763485
0,88,15.420027643716283
0,89,15.40688054058823
0,90,15.397595715550734
0,91,15.388325594617644
0,92,15.375887556079821
0,93,15.359897659433337
0,94,15.344675643794705
0,95,15.340846041491716
0,96,15.3230802157909
0,97,15.319079065603178
0,98,15.305196757254842
0,99,15.291386335639155
0,100,15.284859347072413
0,101,15.272775840829704
0,102,15.260497913650964
0,103,15.24175508190186
0,104,15.23849240451318
0,105,15.230102896055053
0,106,15.213421906501502
0,107,15.20458310596431
0,108,15.195641376696281
0,109,15.185542924548338
0,110,15.173186575479436
0,111,15.17131425285178
0,112,15.156402657195045
