fold,n_train,n_test,r,r2
1,40166,493,0.017587,0.000309
2,40129,499,0.028605,0.000818
3,39267,606,-0.0282,0.000795
4,39663,515,-0.093351,0.008715
5,39495,529,-0.019233,0.00037
6,39622,526,0.071047,0.005048
7,38849,632,0.025838,0.000668
8,39802,470,-0.036313,0.001319
9,39986,528,-0.007385,5.5e-05
10,39933,514,0.021995,0.000484
