fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.025357,0.000643,0.007107,5.1e-05,0.01157,0.501014,21
1,40129,499,0.110881,0.012295,-0.017501,0.000306,-0.022229,0.48497,26
2,39267,606,0.082265,0.006768,-0.003636,1.3e-05,-0.000639,0.506601,25
3,39663,515,0.024764,0.000613,-0.179375,0.032175,-0.156222,0.464078,21
4,39495,529,0.044604,0.001989,0.068989,0.004759,0.081663,0.536862,22
5,39622,526,0.076517,0.005855,0.009186,8.4e-05,0.017654,0.509506,24
6,38849,632,0.025087,0.000629,-0.04064,0.001652,-0.048831,0.476266,21
7,39802,470,0.124024,0.015382,-0.004262,1.8e-05,-0.012773,0.476596,27
8,39986,528,0.075111,0.005642,0.060471,0.003657,0.054597,0.503788,24
9,39933,514,0.053071,0.002817,-0.053824,0.002897,-0.045035,0.472763,22
