fold,n_train,n_test,r,r2
1,279306,3086,-0.003775,1.4e-05
2,271560,3838,-0.006036,3.6e-05
3,273072,3787,0.013219,0.000175
4,277277,3203,-0.033194,0.001102
5,273362,3746,-0.024365,0.000594
6,275538,3408,7.3e-05,0.0
7,272895,3839,-0.016525,0.000273
8,278245,3162,0.020768,0.000431
9,276139,3294,0.026164,0.000685
10,277479,3174,0.007363,5.4e-05
