fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,276097,3346,0.480371,0.230757,0.325328,0.105839,0.285955,24
1,274736,3540,0.479376,0.229801,0.330196,0.109029,0.277953,24
2,274364,3622,0.496647,0.246659,0.336214,0.11304,0.295392,26
3,276327,3357,0.475807,0.226393,0.367533,0.13508,0.338597,24
4,270348,4056,0.492933,0.242982,0.372471,0.138735,0.333467,26
5,279295,2991,0.496814,0.246824,0.309166,0.095584,0.280488,26
6,278054,3168,0.488532,0.238664,0.307725,0.094695,0.281465,25
7,271738,3799,0.490346,0.24044,0.297388,0.088439,0.268669,25
8,276418,3335,0.498183,0.248186,0.257975,0.066551,0.221028,27
9,277417,3244,0.475953,0.226531,0.348241,0.121272,0.309596,24
