stratum,label,n_stratum,n_sampled,mean_r2,ci_lo,ci_hi
freq_1,freq=1,34867,398,0.006166,0.000699,0.014003
freq_2_5,freq=2-5,12118,398,0.007017,0.001122,0.015488
freq_6_20,freq=6-20,1567,398,0.009663,0.003419,0.018975
freq_gt20,freq>20,398,398,0.007535,0.00242,0.014259
