fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,279306,3086,0.087668,0.007686,-0.002334,5e-06,0.002416,21
1,271560,3838,0.081353,0.006618,0.000428,0.0,0.009559,21
2,273072,3787,0.080889,0.006543,-0.007483,5.6e-05,0.000828,21
3,277277,3203,0.084144,0.00708,-0.014639,0.000214,-0.011825,21
4,273362,3746,0.082745,0.006847,-0.037199,0.001384,-0.032645,21
5,275538,3408,0.082504,0.006807,0.022775,0.000519,0.022377,21
6,272895,3839,0.084027,0.007061,0.002346,6e-06,-0.004778,21
7,278245,3162,0.078978,0.006238,0.000379,0.0,-0.017512,21
8,276139,3294,0.066035,0.004361,0.017158,0.000294,0.021787,21
9,277479,3174,0.07729,0.005974,-0.004256,1.8e-05,-0.009593,21
