fold,n_train,n_test,r,r2
1,279306,3086,0.372235,0.138559
2,271560,3838,0.415026,0.172247
3,273072,3787,0.34279,0.117505
4,277277,3203,0.332034,0.110247
5,273362,3746,0.327564,0.107298
6,275538,3408,0.318861,0.101673
7,272895,3839,0.33125,0.109727
8,278245,3162,0.365353,0.133483
9,276139,3294,0.295632,0.087398
10,277479,3174,0.296438,0.087876
