fold,n_train,n_test,r,r2
1,40166,493,0.294979,0.087012
2,40129,499,0.351478,0.123537
3,39267,606,0.307373,0.094478
4,39663,515,0.362721,0.131567
5,39495,529,0.403907,0.163141
6,39622,526,0.366823,0.134559
7,38849,632,0.379378,0.143928
8,39802,470,0.459315,0.21097
9,39986,528,0.314172,0.098704
10,39933,514,0.347156,0.120517
