fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,276097,3346,0.560906,0.314615,0.389475,0.151691,0.342115,39
1,274736,3540,0.558897,0.312365,0.348699,0.121591,0.308747,37
2,274364,3622,0.581689,0.338362,0.36815,0.135534,0.315595,46
3,276327,3357,0.575409,0.331095,0.39014,0.152209,0.354283,46
4,270348,4056,0.564337,0.318477,0.400313,0.16025,0.354375,40
5,279295,2991,0.548476,0.300826,0.340363,0.115847,0.312134,33
6,278054,3168,0.564528,0.318691,0.35302,0.124623,0.307338,39
7,271738,3799,0.576221,0.33203,0.287355,0.082573,0.265989,41
8,276418,3335,0.564554,0.318721,0.297012,0.088216,0.272415,41
9,277417,3244,0.557058,0.310314,0.375743,0.141182,0.332657,37
