fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.48397,0.234227,0.31442,0.09886,0.327101,0.574037,24
1,40129,499,0.474242,0.224906,0.390777,0.152706,0.405738,0.691383,24
2,39267,606,0.494155,0.244189,0.354589,0.125733,0.347721,0.567657,25
3,39663,515,0.488767,0.238893,0.353536,0.124988,0.321722,0.64466,25
4,39495,529,0.477729,0.228225,0.436365,0.190415,0.414346,0.608696,25
5,39622,526,0.47885,0.229298,0.372506,0.138761,0.352225,0.56654,25
6,38849,632,0.492333,0.242392,0.408432,0.166817,0.357988,0.549051,26
7,39802,470,0.482921,0.233213,0.461079,0.212593,0.464305,0.614894,25
8,39986,528,0.469255,0.2202,0.333524,0.111239,0.311407,0.537879,25
9,39933,514,0.47824,0.228713,0.34249,0.1173,0.371214,0.680934,25
