fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,306037,34005,0.035386,0.001252,0.004197,1.8e-05,0.004249,23
1,306037,34005,0.033249,0.001106,0.000866,1e-06,-0.001814,22
2,306038,34004,0.030319,0.000919,-0.009219,8.5e-05,-0.007022,22
3,306038,34004,0.050982,0.002599,-0.010142,0.000103,-0.008424,24
4,306038,34004,0.040003,0.0016,-0.000502,0.0,-0.001389,23
5,306038,34004,0.031932,0.00102,-0.003508,1.2e-05,-0.004449,22
6,306038,34004,0.035564,0.001265,0.004475,2e-05,0.005131,22
7,306038,34004,0.049285,0.002429,0.012749,0.000163,0.012355,24
8,306038,34004,0.045029,0.002028,0.001874,4e-06,0.00304,24
9,306038,34004,0.032071,0.001029,0.001772,3e-06,0.004233,22
