fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.507136,0.257187,0.34878,0.121648,0.338146,0.624746,32
1,40129,499,0.503604,0.253617,0.363645,0.132238,0.374509,0.60521,31
2,39267,606,0.531734,0.282741,0.338826,0.114803,0.336835,0.618812,35
3,39663,515,0.514052,0.264249,0.328505,0.107915,0.324385,0.586408,32
4,39495,529,0.495823,0.24584,0.444856,0.197897,0.428261,0.661626,30
5,39622,526,0.505195,0.255222,0.395608,0.156506,0.351341,0.61597,31
6,38849,632,0.53267,0.283738,0.367786,0.135267,0.329781,0.60443,38
7,39802,470,0.511491,0.261623,0.473663,0.224357,0.463278,0.66383,32
8,39986,528,0.531456,0.282446,0.327473,0.107238,0.314345,0.558712,35
9,39933,514,0.527807,0.278581,0.345813,0.119586,0.373813,0.63035,34
