fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,stopped_epoch
0,279306,3086,0.031768,0.001009,0.020193,0.000408,0.027186,22
1,271560,3838,0.047401,0.002247,-0.009015,8.1e-05,-0.003839,24
2,273072,3787,0.042473,0.001804,0.017729,0.000314,0.004504,26
3,277277,3203,0.045262,0.002049,-0.031995,0.001024,-0.023561,23
4,273362,3746,0.041461,0.001719,-0.027969,0.000782,-0.029616,23
5,275538,3408,0.052198,0.002725,0.040781,0.001663,0.049615,24
6,272895,3839,0.035309,0.001247,-0.01169,0.000137,-0.019395,22
7,278245,3162,0.035175,0.001237,0.000286,0.0,-0.001325,22
8,276139,3294,0.033041,0.001092,0.010495,0.00011,0.006307,22
9,277479,3174,0.051463,0.002648,-0.025382,0.000644,-0.024549,24
