fold,n_test,r,r2
1,34005,0.418303,0.174978
2,34005,0.414337,0.171675
3,34004,0.421544,0.1777
4,34004,0.414142,0.171514
5,34004,0.408947,0.167238
6,34004,0.414843,0.172095
7,34004,0.40994,0.168051
8,34004,0.408013,0.166475
9,34004,0.412513,0.170167
10,34004,0.418514,0.175154
