fold,n_train,n_test,r,r2,acc
1,40166,493,0.368586,0.135856,0.559838
2,40129,499,0.508145,0.258211,0.711423
3,39267,606,0.338161,0.114353,0.546205
4,39663,515,0.552507,0.305265,0.615534
5,39495,529,0.395992,0.15681,0.663516
6,39622,526,0.518493,0.268835,0.634981
7,38849,632,0.386828,0.149636,0.560127
8,39802,470,0.45468,0.206734,0.651064
9,39986,528,0.399327,0.159462,0.573864
10,39933,514,0.428093,0.183264,0.608949
