fold,n_test,r,r2,acc
1,34005,0.391104,0.152962,0.615762
2,34005,0.398116,0.158496,0.616615
3,34004,0.388953,0.151285,0.614075
4,34004,0.398345,0.158679,0.617957
5,34004,0.393796,0.155076,0.614751
6,34004,0.398203,0.158566,0.620015
7,34004,0.397348,0.157886,0.61828
8,34004,0.3956,0.156499,0.615016
9,34004,0.397853,0.158287,0.618398
10,34004,0.400145,0.160116,0.617898
