fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.584786,0.341975,0.521438,0.271898,0.455379,0.647993,111
1,306037,34005,0.597591,0.357116,0.540168,0.291782,0.466939,0.650463,181
2,306038,34004,0.589796,0.347859,0.516858,0.267142,0.447393,0.644101,129
3,306038,34004,0.591237,0.349561,0.535451,0.286708,0.469378,0.650306,129
4,306038,34004,0.589869,0.347945,0.520074,0.270477,0.448478,0.642895,122
5,306038,34004,0.594549,0.353488,0.523595,0.274151,0.455333,0.645924,162
6,306038,34004,0.577571,0.333588,0.525887,0.276557,0.459642,0.650012,74
7,306038,34004,0.593761,0.352552,0.525275,0.275914,0.453266,0.647394,144
8,306038,34004,0.576033,0.331814,0.525971,0.276646,0.460106,0.647424,77
9,306038,34004,0.586241,0.343678,0.527664,0.278429,0.457502,0.64663,112
