fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.037847,0.001432,0.000478,0.0,0.002098,0.499926,23
1,306037,34005,0.042221,0.001783,0.006108,3.7e-05,0.004023,0.498868,23
2,306038,34004,0.03257,0.001061,-0.003006,9e-06,-0.000209,0.501265,22
3,306038,34004,0.034914,0.001219,0.003654,1.3e-05,0.001081,0.502264,22
4,306038,34004,0.052685,0.002776,0.005829,3.4e-05,0.003811,0.500882,25
5,306038,34004,0.059377,0.003526,-0.002845,8e-06,-0.000842,0.500118,25
6,306038,34004,0.03489,0.001217,-0.004136,1.7e-05,-0.004954,0.495089,22
7,306038,34004,0.049851,0.002485,0.000884,1e-06,-0.000998,0.498735,25
8,306038,34004,0.041835,0.00175,-0.005934,3.5e-05,-0.00746,0.499088,23
9,306038,34004,0.031745,0.001008,-0.012547,0.000157,-0.013731,0.494207,22
