fold,n_train,n_test,r,r2,acc
1,279306,3086,0.008215,6.7e-05,0.504213
2,271560,3838,-0.01092,0.000119,0.485409
3,273072,3787,0.001507,2e-06,0.488513
4,277277,3203,-0.024139,0.000583,0.498283
5,273362,3746,-0.01502,0.000226,0.49653
6,275538,3408,-0.013019,0.00017,0.488263
7,272895,3839,-0.00761,5.8e-05,0.497004
8,278245,3162,0.00876,7.7e-05,0.499684
9,276139,3294,-0.010754,0.000116,0.48816
10,277479,3174,9.3e-05,0.0,0.498425
