fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.504419,0.254439,0.298638,0.089185,0.249823,0.561892,62
1,271560,3838,0.436778,0.190775,0.345173,0.119144,0.305419,0.602137,26
2,273072,3787,0.435339,0.18952,0.358694,0.128662,0.326032,0.609189,31
3,277277,3203,0.501879,0.251882,0.257005,0.066052,0.240202,0.56291,57
4,273362,3746,0.490245,0.24034,0.317004,0.100492,0.290199,0.590497,48
5,275538,3408,0.494789,0.244816,0.30599,0.09363,0.282996,0.588908,48
6,272895,3839,0.495265,0.245288,0.279329,0.078025,0.24003,0.582704,54
7,278245,3162,0.447086,0.199886,0.342339,0.117196,0.309544,0.592347,28
8,276139,3294,0.449513,0.202062,0.322296,0.103875,0.312852,0.594718,28
9,277479,3174,0.491661,0.24173,0.316511,0.100179,0.289619,0.601764,45
