fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.046786,0.002189,0.022834,0.000521,0.025288,0.510693,24
1,271560,3838,0.048696,0.002371,0.013744,0.000189,-8.2e-05,0.498697,23
2,273072,3787,0.032436,0.001052,-0.005001,2.5e-05,-0.000103,0.498284,23
3,277277,3203,0.046082,0.002124,-0.015288,0.000234,-0.016993,0.500468,24
4,273362,3746,0.042648,0.001819,-0.015579,0.000243,-0.006333,0.509076,23
5,275538,3408,0.052601,0.002767,0.029545,0.000873,0.015163,0.497946,24
6,272895,3839,0.049121,0.002413,-0.021859,0.000478,-0.021473,0.497786,24
7,278245,3162,0.049912,0.002491,0.010676,0.000114,0.019878,0.512334,24
8,276139,3294,0.050818,0.002582,-0.030407,0.000925,-0.017536,0.504857,24
9,277479,3174,0.049093,0.00241,0.005471,3e-05,0.004877,0.497795,24
