fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.051211,0.002623,0.022902,0.000525,0.019681,0.505509,21
1,271560,3838,0.0519,0.002694,0.016034,0.000257,0.008231,0.505993,21
2,273072,3787,0.050643,0.002565,-0.002066,4e-06,-0.005826,0.49221,21
3,277277,3203,0.050602,0.002561,-0.019096,0.000365,-0.015863,0.497971,21
4,273362,3746,0.050811,0.002582,-0.027611,0.000762,-0.032595,0.489055,21
5,275538,3408,0.051512,0.002653,-0.003524,1.2e-05,-0.014676,0.500293,21
6,272895,3839,0.051388,0.002641,-0.014683,0.000216,-0.021492,0.500391,21
7,278245,3162,0.048656,0.002367,0.001325,2e-06,0.004765,0.500633,21
8,276139,3294,0.053157,0.002826,0.012825,0.000164,0.016755,0.504857,21
9,277479,3174,0.050507,0.002551,-0.012366,0.000153,-0.003904,0.506301,21
