fold,n_test,r,r2,acc
1,34005,-0.0069,4.8e-05,0.497839
2,34005,-0.002161,5e-06,0.49628
3,34004,-0.003524,1.2e-05,0.500294
4,34004,0.003224,1e-05,0.501147
5,34004,0.006489,4.2e-05,0.500794
6,34004,-0.006057,3.7e-05,0.498559
7,34004,0.002533,6e-06,0.500147
8,34004,-0.010565,0.000112,0.499324
9,34004,-0.006,3.6e-05,0.498882
10,34004,-0.013459,0.000181,0.496236
