fold,n_train,n_test,r,r2,acc
1,40166,493,-0.050578,0.002558,0.494929
2,40129,499,0.000293,0.0,0.509018
3,39267,606,-0.038059,0.001448,0.493399
4,39663,515,-0.049512,0.002451,0.504854
5,39495,529,-0.019952,0.000398,0.52741
6,39622,526,-0.05909,0.003492,0.473384
7,38849,632,0.006077,3.7e-05,0.530063
8,39802,470,0.049843,0.002484,0.531915
9,39986,528,0.002571,7e-06,0.505682
10,39933,514,-0.033134,0.001098,0.492218
