fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.594121,0.35298,0.412935,0.170515,0.352853,0.612767,110
1,271560,3838,0.588453,0.346277,0.406813,0.165497,0.360652,0.604482,103
2,273072,3787,0.578268,0.334394,0.406049,0.164876,0.350871,0.604172,132
3,277277,3203,0.58531,0.342588,0.338428,0.114534,0.314062,0.598189,84
4,273362,3746,0.590909,0.349174,0.395681,0.156563,0.349666,0.608649,102
5,275538,3408,0.596609,0.355942,0.358173,0.128288,0.329073,0.604753,119
6,272895,3839,0.59401,0.352848,0.369013,0.136171,0.3149,0.606929,118
7,278245,3162,0.59327,0.351969,0.392618,0.154149,0.325295,0.608792,112
8,276139,3294,0.581654,0.338321,0.369733,0.136703,0.335695,0.597146,70
9,277479,3174,0.602748,0.363305,0.383012,0.146699,0.36004,0.629805,123
