condition,layer,mode,split,k,mean_r2,sd_r2
attn_zeroed,12,words_only,pair_novel,4,0.160611,0.007069
attn_zeroed,12,words_only,pair_novel,5,0.172743,0.007949
attn_zeroed,12,words_only,pair_novel,6,0.184708,0.007701
attn_zeroed,12,words_only,pair_novel,7,0.190032,0.007691
attn_zeroed,12,words_only,pair_novel,8,0.19894,0.008048
attn_zeroed,12,words_only,pair_novel,9,0.205619,0.008295
attn_zeroed,12,words_only,pair_novel,10,0.210698,0.008061
attn_zeroed,12,words_only,pair_novel,11,0.214996,0.007755
attn_zeroed,12,words_only,pair_novel,12,0.219417,0.007576
attn_zeroed,12,words_only,pair_novel,13,0.222272,0.007278
attn_zeroed,12,words_only,pair_novel,14,0.225256,0.00737
attn_zeroed,12,words_only,pair_novel,15,0.227642,0.007518
attn_zeroed,12,words_only,word_novel,1,0.060395,0.026598
attn_zeroed,12,words_only,word_novel,2,0.091524,0.022332
attn_zeroed,12,words_only,word_novel,3,0.103696,0.030639
attn_zeroed,12,words_only,word_novel,4,0.108455,0.040676
attn_zeroed,12,words_only,word_novel,5,0.110324,0.038044
attn_zeroed,12,words_only,word_novel,6,0.112607,0.035519
attn_zeroed,12,words_only,word_novel,7,0.112425,0.032685
attn_zeroed,12,words_only,word_novel,8,0.115418,0.027686
attn_zeroed,12,words_only,word_novel,9,0.116436,0.026644
attn_zeroed,12,words_only,word_novel,10,0.117512,0.025876
attn_zeroed,12,words_only,word_novel,11,0.118718,0.025456
attn_zeroed,12,words_only,word_novel,12,0.118836,0.026215
attn_zeroed,12,words_only,word_novel,13,0.119072,0.027152
attn_zeroed,12,words_only,word_novel,14,0.119854,0.026007
attn_zeroed,12,words_only,word_novel,15,0.121113,0.026228
