fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.402631,0.162112,0.356147,0.126841,0.330284,0.608116,25
1,306037,34005,0.400664,0.160532,0.349129,0.121891,0.318193,0.60497,25
2,306038,34004,0.403787,0.163044,0.350614,0.12293,0.326461,0.608752,25
3,306038,34004,0.423768,0.179579,0.349179,0.121926,0.319428,0.60684,28
4,306038,34004,0.392534,0.154083,0.345596,0.119436,0.319715,0.606487,24
5,306038,34004,0.408582,0.166939,0.345819,0.119591,0.319147,0.602223,26
6,306038,34004,0.417856,0.174603,0.342346,0.117201,0.313951,0.600312,27
7,306038,34004,0.402955,0.162373,0.35574,0.126551,0.326325,0.604723,25
8,306038,34004,0.411609,0.169422,0.34715,0.120513,0.318935,0.602547,27
9,306038,34004,0.399887,0.159909,0.346704,0.120204,0.319305,0.605929,25
