fold,n_test,r,r2,acc
1,34005,0.34331,0.117862,0.604293
2,34005,0.337555,0.113943,0.602323
3,34004,0.343941,0.118295,0.60437
4,34004,0.332798,0.110755,0.601165
5,34004,0.337826,0.114127,0.60687
6,34004,0.332123,0.110305,0.602841
7,34004,0.330562,0.109271,0.602223
8,34004,0.342132,0.117054,0.60137
9,34004,0.333471,0.111203,0.599959
10,34004,0.334831,0.112112,0.598724
