fold,n_train,n_test,r,r2,acc
1,279306,3086,0.251397,0.0632,0.557356
2,271560,3838,0.273763,0.074946,0.56592
3,273072,3787,0.26005,0.067626,0.57803
4,277277,3203,0.191968,0.036852,0.553231
5,273362,3746,0.20315,0.04127,0.562734
6,275538,3408,0.177967,0.031672,0.556045
7,272895,3839,0.212355,0.045095,0.556395
8,278245,3162,0.227304,0.051667,0.560721
9,276139,3294,0.228071,0.052016,0.569824
10,277479,3174,0.163408,0.026702,0.546629
