fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.064056,0.004103,0.002421,6e-06,0.004413,0.504838,21
1,306037,34005,0.052299,0.002735,0.00329,1.1e-05,0.00668,0.506867,21
2,306038,34004,0.055477,0.003078,-0.002353,6e-06,0.000106,0.500647,21
3,306038,34004,0.079015,0.006243,0.009165,8.4e-05,0.010082,0.50447,22
4,306038,34004,0.053322,0.002843,-0.000172,0.0,-0.001527,0.496883,21
5,306038,34004,0.05298,0.002807,-0.001417,2e-06,-0.000791,0.503205,21
6,306038,34004,0.053227,0.002833,-0.005658,3.2e-05,-0.004163,0.497089,21
7,306038,34004,0.052829,0.002791,0.005922,3.5e-05,0.00487,0.501941,21
8,306038,34004,0.051631,0.002666,-0.009202,8.5e-05,-0.008234,0.497765,21
9,306038,34004,0.051065,0.002608,0.000207,0.0,-0.002384,0.500176,21
