fold,n_train,n_test,r,r2,acc
1,279306,3086,-0.00396,1.6e-05,0.498056
2,271560,3838,0.009505,9e-05,0.488015
3,273072,3787,0.018724,0.000351,0.517824
4,277277,3203,0.045386,0.00206,0.521074
5,273362,3746,-0.008364,7e-05,0.495195
6,275538,3408,0.012873,0.000166,0.490023
7,272895,3839,-0.020995,0.000441,0.493879
8,278245,3162,0.002189,5e-06,0.512334
9,276139,3294,0.005543,3.1e-05,0.503643
10,277479,3174,0.015673,0.000246,0.512287
