fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.05216,0.002721,-0.007427,5.5e-05,0.005231,0.499352,22
1,271560,3838,0.051947,0.002699,-0.008584,7.4e-05,-0.002795,0.501303,22
2,273072,3787,0.064525,0.004164,-0.025008,0.000625,-0.022885,0.486401,24
3,277277,3203,0.064421,0.00415,0.009448,8.9e-05,0.008123,0.505776,23
4,273362,3746,0.036536,0.001335,0.018652,0.000348,0.021746,0.516551,21
5,275538,3408,0.052994,0.002808,-0.004679,2.2e-05,-0.002061,0.494718,22
6,272895,3839,0.069692,0.004857,-0.004071,1.7e-05,0.001082,0.507684,23
7,278245,3162,0.05332,0.002843,0.054769,0.003,0.059329,0.521505,22
8,276139,3294,0.049471,0.002447,-0.016197,0.000262,-0.01427,0.506679,22
9,277479,3174,0.052593,0.002766,0.016924,0.000286,0.01814,0.513233,22
