fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.125245,0.015686,0.053818,0.002896,0.081913,0.551724,21
1,40129,499,0.108048,0.011674,0.044849,0.002011,0.040628,0.533066,21
2,39267,606,0.117524,0.013812,-0.039498,0.00156,-0.030104,0.5033,21
3,39663,515,0.173266,0.030021,0.020228,0.000409,0.009424,0.504854,22
4,39495,529,0.106882,0.011424,0.013591,0.000185,0.028081,0.512287,21
5,39622,526,0.115915,0.013436,0.023315,0.000544,0.024739,0.51711,21
6,38849,632,0.114271,0.013058,-0.06042,0.003651,-0.045512,0.460443,21
7,39802,470,0.157874,0.024924,-0.011254,0.000127,-0.005569,0.510638,22
8,39986,528,0.122001,0.014884,-0.036648,0.001343,-0.05321,0.486742,22
9,39933,514,0.114056,0.013009,-0.000664,0.0,-0.002855,0.513619,21
