fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.130233,0.016961,0.077163,0.005954,0.085452,0.529412,23
1,40129,499,0.060956,0.003716,0.085512,0.007312,0.093468,0.541082,21
2,39267,606,0.069367,0.004812,-0.045244,0.002047,-0.037071,0.491749,21
3,39663,515,0.062294,0.003881,-0.046778,0.002188,-0.027764,0.512621,21
4,39495,529,0.099058,0.009812,0.039375,0.00155,0.039426,0.495274,22
5,39622,526,0.11069,0.012252,0.026886,0.000723,0.025096,0.496198,22
6,38849,632,0.106529,0.011348,-0.002699,7e-06,0.006174,0.514241,22
7,39802,470,0.110422,0.012193,-0.063367,0.004015,-0.047257,0.470213,22
8,39986,528,0.098206,0.009644,0.026466,0.0007,0.004864,0.49053,22
9,39933,514,0.116459,0.013563,-0.01978,0.000391,-0.010679,0.498054,22
