fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,306037,34005,0.512121,0.262268,0.426185,0.181634,0.388815,0.627172,49
1,306037,34005,0.49212,0.242182,0.42004,0.176434,0.37741,0.623144,39
2,306038,34004,0.505489,0.255519,0.425321,0.180898,0.386404,0.625632,44
3,306038,34004,0.493305,0.24335,0.421916,0.178013,0.38215,0.627397,38
4,306038,34004,0.503625,0.253638,0.420662,0.176957,0.380628,0.623368,44
5,306038,34004,0.493527,0.243569,0.420101,0.176485,0.386509,0.627426,38
6,306038,34004,0.497299,0.247306,0.413405,0.170904,0.37619,0.622339,40
7,306038,34004,0.506454,0.256496,0.423921,0.179709,0.385147,0.624779,46
8,306038,34004,0.498257,0.24826,0.426414,0.181829,0.392964,0.628779,42
9,306038,34004,0.50928,0.259367,0.423672,0.179498,0.385019,0.626309,47
