fold,n_test,r,r2,acc
1,34005,0.002757,8e-06,0.502985
2,34005,-0.000696,0.0,0.503602
3,34004,0.002532,6e-06,0.505852
4,34004,-0.000556,0.0,0.502911
5,34004,0.00171,3e-06,0.497824
6,34004,-0.007767,6e-05,0.495736
7,34004,0.0017,3e-06,0.496736
8,34004,-0.004515,2e-05,0.4975
9,34004,-0.002107,4e-06,0.503353
10,34004,-0.000754,1e-06,0.498941
