fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.504883,0.254907,0.225123,0.05068,0.19744,0.561244,42
1,271560,3838,0.482598,0.232901,0.289875,0.084028,0.255888,0.574518,36
2,273072,3787,0.519516,0.269897,0.224225,0.050277,0.210894,0.566147,111
3,277277,3203,0.50091,0.250911,0.219394,0.048134,0.195543,0.562285,39
4,273362,3746,0.499349,0.24935,0.211364,0.044675,0.201937,0.564335,38
5,275538,3408,0.498003,0.248007,0.178529,0.031873,0.173946,0.551937,39
6,272895,3839,0.502636,0.252643,0.216675,0.046948,0.196141,0.560563,40
7,278245,3162,0.502609,0.252616,0.226112,0.051126,0.199128,0.560721,39
8,276139,3294,0.486655,0.236833,0.219075,0.047994,0.218172,0.58136,34
9,277479,3174,0.502898,0.252906,0.201978,0.040795,0.190884,0.565217,40
