fold,n_train,n_test,r,r2,acc
1,40166,493,0.009248,8.6e-05,0.543611
2,40129,499,0.061403,0.00377,0.533066
3,39267,606,-0.005822,3.4e-05,0.5
4,39663,515,-0.002921,9e-06,0.48932
5,39495,529,-0.036852,0.001358,0.47448
6,39622,526,0.027448,0.000753,0.532319
7,38849,632,-0.055227,0.00305,0.47943
8,39802,470,-0.005964,3.6e-05,0.502128
9,39986,528,0.001711,3e-06,0.511364
10,39933,514,0.012425,0.000154,0.511673
