fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.526971,0.277699,0.290388,0.084325,0.271148,0.56998,33
1,40129,499,0.502295,0.2523,0.357278,0.127647,0.361972,0.619238,29
2,39267,606,0.495785,0.245803,0.343348,0.117888,0.335453,0.623762,28
3,39663,515,0.507115,0.257166,0.297764,0.088663,0.280127,0.572816,29
4,39495,529,0.501781,0.251785,0.43526,0.189451,0.436641,0.644612,29
5,39622,526,0.493345,0.243389,0.31738,0.10073,0.311151,0.61597,28
6,38849,632,0.516082,0.26634,0.25848,0.066812,0.213649,0.536392,32
7,39802,470,0.468412,0.21941,0.404006,0.163221,0.380859,0.621277,25
8,39986,528,0.4749,0.22553,0.286794,0.082251,0.299891,0.594697,26
9,39933,514,0.495122,0.245146,0.310435,0.09637,0.31192,0.616732,27
