fold,n_train,n_test,r,r2,acc
1,40166,493,0.268473,0.072078,0.555781
2,40129,499,0.329545,0.1086,0.539078
3,39267,606,0.326863,0.10684,0.554455
4,39663,515,0.277325,0.076909,0.545631
5,39495,529,0.346082,0.119773,0.58034
6,39622,526,0.328334,0.107803,0.553232
7,38849,632,0.25532,0.065188,0.512658
8,39802,470,0.391702,0.15343,0.559574
9,39986,528,0.25109,0.063046,0.526515
10,39933,514,0.274323,0.075253,0.579767
