fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.409005,0.167285,0.251164,0.063084,0.229978,0.572586,25
1,271560,3838,0.412435,0.170103,0.262236,0.068768,0.232609,0.585982,27
2,273072,3787,0.424594,0.18028,0.237739,0.05652,0.229814,0.574597,39
3,277277,3203,0.418181,0.174875,0.196272,0.038523,0.175724,0.565407,26
4,273362,3746,0.417963,0.174693,0.215805,0.046572,0.213838,0.583823,26
5,275538,3408,0.403221,0.162587,0.164389,0.027024,0.161743,0.549002,25
6,272895,3839,0.415137,0.172339,0.218547,0.047763,0.202801,0.549622,26
7,278245,3162,0.417224,0.174076,0.231937,0.053795,0.21857,0.562935,26
8,276139,3294,0.41345,0.170941,0.219268,0.048078,0.215571,0.575896,26
9,277479,3174,0.418186,0.17488,0.167814,0.028162,0.160355,0.562697,26
