label,condition,sd_true
BabyLM-125M,default,2.895277918558676
BabyLM-125M,attn_zeroed,2.7060865311589013
BabyLM-350M,default,2.7882986415032267
BabyLM-350M,attn_zeroed,2.5033594505695738
BabyLM-1.3B,default,4.852848085735252
BabyLM-1.3B,attn_zeroed,4.250880353341953
Pythia-160M,default,2.8256858650929693
Pythia-160M,attn_zeroed,2.5840375569830325
Pythia-410M,default,3.067022051014868
Pythia-410M,attn_zeroed,2.7508404878875448
Pythia-1B,default,3.091793923720865
Pythia-1B,attn_zeroed,2.900439388712794
GPT-2,default,2.8716276739140962
GPT-2,attn_zeroed,3.631935165221934
GPT-2-M,default,2.9658786157959027
GPT-2-M,attn_zeroed,3.392992414006441
GPT-2-L,default,2.9502875366772265
GPT-2-L,attn_zeroed,2.9574640824504286
GPT-2-XL,default,3.0290159492584845
GPT-2-XL,attn_zeroed,3.1375386915408576
OLMo-1B,default,2.9045725952904053
OLMo-1B,attn_zeroed,2.602088962967938
OLMo-7B,default,2.9616004663670523
OLMo-7B,attn_zeroed,2.5546173135505326
OLMo-2-1B,default,3.079660123761516
OLMo-2-1B,attn_zeroed,2.8710140819330263
OLMo-2-7B,default,3.2824548455979814
OLMo-2-7B,attn_zeroed,3.0094431822272876
Llama-1.3B,default,2.914560263079945
Llama-1.3B,attn_zeroed,2.562404625202282
Llama-3-8B,default,3.176910228390162
Llama-3-8B,attn_zeroed,2.7512820318778295
