condition,layer,mode,split,mean_r2,sd_r2,n_folds,mean_best_epoch,mean_n_epochs
default,12,mean_pooled,pair_novel,0.680771,0.004868,10,49.1,55.1
default,12,mean_pooled,word_novel,0.379937,0.031965,10,45.0,51.0
default,12,words_only,pair_novel,0.562503,0.008516,10,38.5,44.5
default,12,words_only,word_novel,0.226236,0.032722,10,38.9,44.9
attn_zeroed,12,mean_pooled,pair_novel,0.691679,0.008571,10,47.8,53.8
attn_zeroed,12,mean_pooled,word_novel,0.32628,0.058186,10,54.7,60.7
attn_zeroed,12,words_only,pair_novel,0.562464,0.008883,10,39.3,45.3
attn_zeroed,12,words_only,word_novel,0.220528,0.028367,10,39.1,45.1
