condition,layer,mode,split,k,mean_r2,sd_r2
attn_zeroed,12,words_only,pair_novel,4,0.224045,0.004885
attn_zeroed,12,words_only,pair_novel,5,0.249982,0.00432
attn_zeroed,12,words_only,pair_novel,6,0.261268,0.003973
attn_zeroed,12,words_only,pair_novel,7,0.273251,0.003812
attn_zeroed,12,words_only,pair_novel,8,0.283955,0.004325
attn_zeroed,12,words_only,pair_novel,9,0.291297,0.003961
attn_zeroed,12,words_only,pair_novel,10,0.299622,0.004821
attn_zeroed,12,words_only,pair_novel,11,0.306123,0.005334
attn_zeroed,12,words_only,pair_novel,12,0.310769,0.005519
attn_zeroed,12,words_only,pair_novel,13,0.314868,0.006017
attn_zeroed,12,words_only,pair_novel,14,0.318338,0.005994
attn_zeroed,12,words_only,pair_novel,15,0.320661,0.00605
attn_zeroed,12,words_only,word_novel,1,0.07099,0.012252
attn_zeroed,12,words_only,word_novel,2,0.124159,0.029849
attn_zeroed,12,words_only,word_novel,3,0.159426,0.030293
attn_zeroed,12,words_only,word_novel,4,0.18301,0.026858
attn_zeroed,12,words_only,word_novel,5,0.2001,0.022142
attn_zeroed,12,words_only,word_novel,6,0.206567,0.022486
attn_zeroed,12,words_only,word_novel,7,0.214517,0.025719
attn_zeroed,12,words_only,word_novel,8,0.220636,0.029911
attn_zeroed,12,words_only,word_novel,9,0.227448,0.030909
attn_zeroed,12,words_only,word_novel,10,0.22943,0.033484
attn_zeroed,12,words_only,word_novel,11,0.230027,0.032826
attn_zeroed,12,words_only,word_novel,12,0.230783,0.035378
attn_zeroed,12,words_only,word_novel,13,0.231619,0.035088
attn_zeroed,12,words_only,word_novel,14,0.232975,0.032095
attn_zeroed,12,words_only,word_novel,15,0.233538,0.032933
