[20:26:07] [PID:719653] Total jobs: 236
[20:26:07] [PID:719653] Starting extraction...
[20:26:14] [PID:719664] done: GPT-2-L | final | default | mean_pooled
[20:26:15] [PID:719666] done: GPT-2-L | final | attn_zeroed | mean_pooled
[20:26:15] [PID:719665] done: GPT-2-XL | final | default | words_only
[20:26:15] [PID:719667] done: GPT-2-XL | final | attn_zeroed | words_only
[20:26:15] [PID:719664] done: GPT-2-XL | final | default | mean_pooled
[20:26:15] [PID:719666] done: GPT-2-XL | final | attn_zeroed | mean_pooled
[20:26:15] [PID:719665] done: OLMo-1B | final | default | words_only
[20:26:15] [PID:719667] done: OLMo-1B | final | attn_zeroed | words_only
[20:26:16] [PID:719664] done: OLMo-1B | final | default | mean_pooled
[20:26:16] [PID:719666] done: OLMo-1B | final | attn_zeroed | mean_pooled
[20:26:16] [PID:719665] done: OLMo-7B | final | default | words_only
[20:26:16] [PID:719667] done: OLMo-7B | final | attn_zeroed | words_only
[20:26:16] [PID:719664] done: OLMo-7B | final | default | mean_pooled
[20:26:16] [PID:719666] done: OLMo-7B | final | attn_zeroed | mean_pooled
[20:26:16] [PID:719665] done: OLMo-2-1B | final | default | words_only
[20:26:17] [PID:719667] done: OLMo-2-1B | final | attn_zeroed | words_only
[20:26:17] [PID:719664] done: OLMo-2-1B | final | default | mean_pooled
[20:26:17] [PID:719666] done: OLMo-2-1B | final | attn_zeroed | mean_pooled
[20:26:17] [PID:719665] done: OLMo-2-7B | final | default | words_only
[20:26:17] [PID:719667] done: OLMo-2-7B | final | attn_zeroed | words_only
[20:26:17] [PID:719664] done: OLMo-2-7B | final | default | mean_pooled
[20:26:18] [PID:719666] done: OLMo-2-7B | final | attn_zeroed | mean_pooled
[20:26:18] [PID:719665] done: Llama-1.3B | final | default | words_only
[20:26:18] [PID:719667] done: Llama-1.3B | final | attn_zeroed | words_only
[20:26:18] [PID:719664] done: Llama-1.3B | final | default | mean_pooled
