step,pct_training,condition,layer,mode,n,estimate,se,t,p,ci_lo,ci_hi
48,0.6,attn_zeroed,0,mean_pooled,48950,0.007859595604185074,0.005312046148952214,1.4795796918547774,0.13899188503563056,-0.002552080987246212,0.01827127219561636
48,0.6,attn_zeroed,0,words_only,48950,0.12229398218332102,0.015886194190275697,7.698129628692312,1.4065359343972613e-14,0.09115684377377423,0.15343112059286781
48,0.6,attn_zeroed,1,mean_pooled,48950,0.01592237427127459,0.005603304597173627,2.841604270327553,0.004490571386953959,0.00493982749491435,0.02690492104763483
48,0.6,attn_zeroed,1,words_only,48950,0.09816911294772449,0.015924094155493257,6.1648161577755785,7.111458640226507e-10,0.06695769013446452,0.12938053576098446
48,0.6,attn_zeroed,2,mean_pooled,48950,0.027082814217648712,0.006008814224731002,4.507181151679079,6.5846541330899526e-6,0.015305463522336842,0.038860164912960585
48,0.6,attn_zeroed,2,words_only,48950,0.12879784630138721,0.015790593814517497,8.156618288982491,3.5264332679543035e-16,0.09784808581863233,0.1597476067841421
48,0.6,attn_zeroed,3,mean_pooled,48950,0.03916788440952912,0.0064346647743916165,6.087012421440767,1.1588942707226698e-9,0.02655586133468152,0.05177990748437672
48,0.6,attn_zeroed,3,words_only,48950,0.15315665934125489,0.015592457404201256,9.822483741401026,9.456953443444086e-23,0.12259524868968638,0.1837180699928234
48,0.6,attn_zeroed,4,mean_pooled,48950,0.02636354680921365,0.0065429335382096035,4.02931600256293,5.602382293516952e-5,0.013539315609244752,0.03918777800918255
48,0.6,attn_zeroed,4,words_only,48950,0.12001474535173312,0.015896081237355406,7.549957977674484,4.4293453226367294e-14,0.08885822820680796,0.15117126249665827
48,0.6,attn_zeroed,5,mean_pooled,48950,0.03706088516392179,0.00674135833003545,5.4975397167067515,3.8704465067402216e-8,0.023847738901417094,0.05027403142642648
48,0.6,attn_zeroed,5,words_only,48950,0.13600866186908891,0.01597344007157789,8.514675690372668,1.7172440572620053e-17,0.10470052044590451,0.16731680329227333
48,0.6,attn_zeroed,6,mean_pooled,48950,0.042178849087125055,0.006838834738925837,6.167549107020826,6.989761589870945e-10,0.028774647849531147,0.05558305032471896
48,0.6,attn_zeroed,6,words_only,48950,0.14448019495940848,0.015616105825042834,9.251998966843079,2.2892363108567205e-20,0.11387243310854755,0.1750879568102694
48,0.6,attn_zeroed,7,mean_pooled,48950,0.03968385073142585,0.007156809228666221,5.544908277347157,2.9562275191804713e-8,0.025656415534888406,0.053711285927963294
48,0.6,attn_zeroed,7,words_only,48950,0.1037426465999976,0.015681266136601698,6.615706008448612,3.735813978839101e-11,0.07300716972718012,0.1344781234728151
48,0.6,attn_zeroed,8,mean_pooled,48950,0.04263745663246717,0.007099614527710313,6.005601637391731,1.91963688213217e-9,0.0287221237619259,0.05655278950300845
48,0.6,attn_zeroed,8,words_only,48950,0.07704983839168872,0.015838215349632038,4.864805578835546,1.149248156082071e-6,0.0460067391071808,0.10809293767619664
48,0.6,attn_zeroed,9,mean_pooled,48950,0.030352453804117264,0.007333742798477927,4.13873988196269,3.498021969971657e-5,0.015978226607775696,0.04472668100045883
48,0.6,attn_zeroed,9,words_only,48950,0.15143006209116688,0.015913525580132867,9.515808506960816,1.881797283652285e-21,0.12023935381720102,0.18262077036513275
48,0.6,attn_zeroed,10,mean_pooled,48950,0.034970668097858267,0.007386259725403493,4.734557055661606,2.2014753835858916e-6,0.02049350707086226,0.04944782912485427
48,0.6,attn_zeroed,10,words_only,48950,0.15633007709021954,0.015635325950448222,9.998517305342009,1.6295123832611472e-23,0.12568464355425718,0.1869755106261819
48,0.6,attn_zeroed,11,mean_pooled,48950,0.033390173712417835,0.007733298489545113,4.317714330768307,1.579628309017491e-5,0.018232812386776973,0.0485475350380587
48,0.6,attn_zeroed,11,words_only,48950,0.15219868995393446,0.015855812649508985,9.598920807042184,8.44401741240027e-22,0.1211210997425664,0.18327628016530254
48,0.6,attn_zeroed,12,mean_pooled,48950,0.03382384640903646,0.007803925593232504,4.334209239304922,1.4657641829494463e-5,0.01852805508080091,0.049119637737272015
48,0.6,attn_zeroed,12,words_only,48950,0.1367108419591419,0.015600161889498951,8.763424567482666,1.9534501089790477e-18,0.10613433042046254,0.16728735349782128
48,0.6,attn_zeroed,13,mean_pooled,48950,0.03500247226060199,0.007781784927146449,4.498000470110302,6.875302085896991e-6,0.019750076913565194,0.05025486760763879
48,0.6,attn_zeroed,13,words_only,48950,0.15579187930302985,0.015743319090481468,9.895745516409104,4.5658969467332923e-23,0.12493477786799603,0.18664898073806366
48,0.6,attn_zeroed,14,mean_pooled,48950,0.03491928784607266,0.007859765050983352,4.442790289476124,8.899415362059521e-6,0.019514050485396776,0.05032452520674854
48,0.6,attn_zeroed,14,words_only,48950,0.1537281699491216,0.015673422014678334,9.808207155090539,1.0891989042715184e-22,0.12300806765293988,0.18444827224530333
48,0.6,attn_zeroed,15,mean_pooled,48950,0.025592360398560686,0.007936588465427153,3.2246046913033792,0.0012622944603859286,0.010036548189058215,0.04114817260806316
48,0.6,attn_zeroed,15,words_only,48950,0.1597667456460723,0.01600603982739495,9.98165363631205,1.931042231007441e-23,0.12839470829559183,0.19113878299655276
48,0.6,attn_zeroed,16,mean_pooled,48950,0.027385808918403576,0.007860471957365132,3.48399041011062,4.944288097502448e-4,0.011979186012417825,0.042792431824389326
48,0.6,attn_zeroed,16,words_only,48950,0.12852284148552892,0.015347183350203027,8.374360203615389,5.697625560712155e-17,0.09844217103366718,0.15860351193739067
48,0.6,attn_zeroed,17,mean_pooled,48950,0.03819603525157901,0.007901627033321784,4.833945602659214,1.3425839045133243e-6,0.022708747884302577,0.053683322618855445
48,0.6,attn_zeroed,17,words_only,48950,0.14417422511898378,0.01541415968295369,9.353362627897523,8.8363612639719e-21,0.11396228022101854,0.17438617001694903
48,0.6,attn_zeroed,18,mean_pooled,48950,0.03148974279405935,0.008123592635106367,3.876332087108284,1.0618120513654414e-4,0.015567400083624922,0.04741208550449377
48,0.6,attn_zeroed,18,words_only,48950,0.13145353567736345,0.01572378016914805,8.360173842629212,6.42520665499708e-17,0.10063473077141931,0.16227234058330758
48,0.6,attn_zeroed,19,mean_pooled,48950,0.03333226123796372,0.00799643707499827,4.1683891119684615,3.0728666525295515e-5,0.017659145008535854,0.049005377467391587
48,0.6,attn_zeroed,19,words_only,48950,0.15497563915491602,0.016077227980305465,9.639450242589115,5.698566602014192e-22,0.12346407213837798,0.18648720617145406
48,0.6,attn_zeroed,20,mean_pooled,48950,0.031374304198650546,0.008608542376204344,3.644554772173175,2.6813205897205947e-4,0.014501453957628044,0.04824715443967305
48,0.6,attn_zeroed,20,words_only,48950,0.12365758464998905,0.015740290977036005,7.856118087676836,4.042518041552531e-15,0.09280641835501094,0.15450875094496716
48,0.6,attn_zeroed,21,mean_pooled,48950,0.028848068405789698,0.008110347281478195,3.556946133696489,3.755452352533064e-4,0.012951686753382388,0.04474445005819701
48,0.6,attn_zeroed,21,words_only,48950,0.11240375001881074,0.015436391583161395,7.281737406909595,3.344905020724977e-13,0.08214823031963235,0.14265926971798912
48,0.6,attn_zeroed,22,mean_pooled,48950,0.03129909555901949,0.008261552920357077,3.7885244893724765,1.5172591025889673e-4,0.015106348971770982,0.047491842146268
48,0.6,attn_zeroed,22,words_only,48950,0.14570425388900182,0.015519448510123912,9.388494300809306,6.338150074924215e-21,0.11528594157884764,0.176122566199156
48,0.6,attn_zeroed,23,mean_pooled,48950,0.026429223522115294,0.008097850925976952,3.2637330278992245,0.0011003010961063483,0.010557334882080653,0.042301112162149934
48,0.6,attn_zeroed,23,words_only,48950,0.13201477742468262,0.015448821065353897,8.545297849344886,1.3183878923514932e-17,0.10173489578564933,0.16229465906371593
48,0.6,attn_zeroed,24,mean_pooled,48950,0.025071209006691474,0.008256943970471371,3.0363787251495924,0.0023956429626403124,0.00888749601860429,0.04125492199477866
48,0.6,attn_zeroed,24,words_only,48950,0.12853320619842787,0.015529582721701983,8.27666837556477,1.2982926988178987e-16,0.09809503070740112,0.1589713816894546
48,0.6,default,0,mean_pooled,48950,0.007432791632210253,0.005507473524277829,1.3495828167752986,0.17715608064007263,-0.003361925048095995,0.018227508312516502
48,0.6,default,0,words_only,48950,0.1270996966403358,0.015723624841473095,8.083358508089935,6.4437482801022e-16,0.09628119617856852,0.15791819710210306
48,0.6,default,1,mean_pooled,48950,0.02706102825039624,0.005837467780434511,4.6357477708222925,3.5656599421278407e-6,0.015619518719314211,0.03850253778147827
48,0.6,default,1,words_only,48950,0.13159182641962686,0.015699946961500427,8.381673310254977,5.3549402478885804e-17,0.10081973489741572,0.162363917941838
48,0.6,default,2,mean_pooled,48950,0.022602561194631467,0.006087032939307923,3.7132312934717433,2.048566609783053e-4,0.010671900844859422,0.03453322154440351
48,0.6,default,2,words_only,48950,0.1343225873862727,0.016430111827865513,8.175390940338048,3.0191232793205254e-16,0.10211936363481344,0.16652581113773196
48,0.6,default,3,mean_pooled,48950,0.03911933688021072,0.006520031672600879,5.999869148581265,1.9885958128279685e-9,0.026339993621982596,0.051898680138438846
48,0.6,default,3,words_only,48950,0.15159918415145163,0.016524092574520734,9.174433238482909,4.7106588295200126e-20,0.11921175696640804,0.18398661133649521
48,0.6,default,4,mean_pooled,48950,0.03470150891550645,0.006613743557174228,5.246878506177359,1.553406443074894e-7,0.021738489196722027,0.04766452863429087
48,0.6,default,4,words_only,48950,0.1521696570106197,0.0157125279856859,9.68460690407337,3.6699230047509987e-22,0.12137290652436061,0.1829664074968788
48,0.6,default,5,mean_pooled,48950,0.043608666991313966,0.007254742790479157,6.011056249787972,1.8561870054968896e-9,0.02938928079426717,0.05782805318836076
48,0.6,default,5,words_only,48950,0.09902534793130938,0.015795804196582008,6.269091886612338,3.6617992314643124e-10,0.06806537503483438,0.12998532082778438
