alpha,lam,mu,r2_pair,r2_word,gap,beta2
0.0,0.0,0.0,0.0022526005453058864,0.004182922354304714,-0.001930321808998828,0.00020739905542048486
0.0,0.0,0.0,0.0016390795123828242,0.0017658861168782607,-0.0001268066044954365,-0.0004662432612998115
0.0,0.0,0.0,0.0003929989085333967,0.003794709131743061,-0.0034017102232096644,-0.00010442431811978704
0.0,0.0,0.5,0.0022526005453058864,0.004182922354304714,-0.001930321808998828,0.0010176153620032671
0.0,0.0,0.5,0.0016390795123828242,0.0017658861168782607,-0.0001268066044954365,0.0009140210533423229
0.0,0.0,0.5,0.0003929989085333967,0.003794709131743061,-0.0034017102232096644,0.0006395718192271607
0.0,0.0,1.0,0.0022526005453058864,0.004182922354304714,-0.001930321808998828,0.002275878885734082
0.0,0.0,1.0,0.0016390795123828242,0.0017658861168782607,-0.0001268066044954365,0.002811034578855332
0.0,0.0,1.0,0.0003929989085333967,0.003794709131743061,-0.0034017102232096644,0.0017550331037242267
0.0,0.5,0.0,0.47739278810430463,0.465342379737628,0.012050408366676646,6.911283008623811e-05
0.0,0.5,0.0,0.49097281015334115,0.47629871809258983,0.01467409206075132,-0.0005333636220778877
0.0,0.5,0.0,0.48710241860345843,0.49396679873166943,-0.006864380128211001,-0.0004230731236345418
0.0,0.5,0.5,0.47739278810430463,0.465342379737628,0.012050408366676646,0.0010194547317988207
0.0,0.5,0.5,0.49097281015334115,0.47629871809258983,0.01467409206075132,0.0003145961300842978
0.0,0.5,0.5,0.48710241860345843,0.49396679873166943,-0.006864380128211001,-0.0003024861550599278
0.0,0.5,1.0,0.47739278810430463,0.465342379737628,0.012050408366676646,0.002672747908324717
0.0,0.5,1.0,0.49097281015334115,0.47629871809258983,0.01467409206075132,0.0022919573062150575
0.0,0.5,1.0,0.48710241860345843,0.49396679873166943,-0.006864380128211001,0.0011263821004003464
0.0,1.0,0.0,0.8092759740460143,0.8053542671365517,0.003921706909462586,0.0003602438738480962
0.0,1.0,0.0,0.8172716109199951,0.8094726707384021,0.007798940181592995,-0.0005072038506691327
0.0,1.0,0.0,0.8165539734145085,0.8165975436756711,-4.357026116252882e-05,-0.00010140561929537295
0.0,1.0,0.5,0.8092759740460143,0.8053542671365517,0.003921706909462586,0.0009888685740128854
0.0,1.0,0.5,0.8172716109199951,0.8094726707384021,0.007798940181592995,0.00023284334372291292
0.0,1.0,0.5,0.8165539734145085,0.8165975436756711,-4.357026116252882e-05,-0.00016422127957560137
0.0,1.0,1.0,0.8092759740460143,0.8053542671365517,0.003921706909462586,0.0026699946260887487
0.0,1.0,1.0,0.8172716109199951,0.8094726707384021,0.007798940181592995,0.002153786051360353
0.0,1.0,1.0,0.8165539734145085,0.8165975436756711,-4.357026116252882e-05,0.001006574634368821
0.5,0.0,0.0,0.653495105151451,0.6466677404708607,0.006827364680590309,0.00016667326142597852
0.5,0.0,0.0,0.6540258594467653,0.6368376880023352,0.017188171444430078,-0.0005040510040341829
0.5,0.0,0.0,0.6564577466051219,0.6423937577843472,0.014063988820774753,5.890253280489612e-05
0.5,0.0,0.5,0.653495105151451,0.6466677404708607,0.006827364680590309,0.001285282046549339
