condition,layer,mode,term,n,estimate,se,t,p,ci_lo,ci_hi
attn_zeroed,0,individual,log_freq,146850,-0.08628081457942063,0.014713769585648096,-5.863950368203366,4.529456476503339e-9,-0.11511951074762766,-0.057442118411213605
attn_zeroed,0,individual,model_size125,146850,0.18065456579920483,0.01451327737181514,12.447537600985767,1.5031801860539687e-35,0.15220883038827782,0.20910030121013184
attn_zeroed,0,individual,model_size1300,146850,1.413747567881985,0.014513277371834497,97.41063521776306,0,1.38530183247102,1.4421933032929501
attn_zeroed,0,individual,log_freq:model_size125,146850,-0.012162086147733021,0.02080841250169204,-0.5844792891694193,0.5588987932756857,-0.05294616139003848,0.028621989094572434
attn_zeroed,0,individual,log_freq:model_size1300,146850,-0.04535837539913428,0.02080841250166101,-2.1798095071170662,0.02927316778184749,-0.08614245064137893,-0.004574300156889637
attn_zeroed,0,mean_pooled,log_freq,146850,-0.06687018103127833,0.015200070245377334,-4.3993336841068205,1.0866004954955307e-5,-0.09666201683448478,-0.037078345228071886
attn_zeroed,0,mean_pooled,model_size125,146850,0.16054005002085103,0.01499295161978157,10.707701464802692,9.581418807645269e-27,0.13115416261037727,0.1899259374313248
attn_zeroed,0,mean_pooled,model_size1300,146850,1.4585477203306252,0.014992951619801569,97.28222683012493,0,1.4291618329201121,1.4879336077411383
attn_zeroed,0,mean_pooled,log_freq:model_size125,146850,-5.88070007104195e-4,0.02149614549007329,-0.027356997903450184,0.9781750332770469,-0.04272008824806347,0.04154394823385508
attn_zeroed,0,mean_pooled,log_freq:model_size1300,146850,-0.09261714611077734,0.021496145490041238,-4.308546671945681,1.6443743196107437e-5,-0.13474916435167378,-0.050485127869880894
attn_zeroed,0,words_only,log_freq,146850,-0.09275641248372514,0.014948527183680477,-6.205053604544309,5.482352148432008e-10,-0.12205522888172274,-0.06345759608572754
attn_zeroed,0,words_only,model_size125,146850,0.11782261487626726,0.01474483612469301,7.990771404976896,1.3505992320847977e-15,0.08892302890852252,0.146722200844012
attn_zeroed,0,words_only,model_size1300,146850,1.4449275859365578,0.014744836124712677,97.99549982890801,0,1.4160279999687746,1.473827171904341
attn_zeroed,0,words_only,log_freq:model_size125,146850,-0.011573589260409493,0.021140409880700133,-0.5474628602624897,0.5840616114328735,-0.053008372772008115,0.029861194251189126
attn_zeroed,0,words_only,log_freq:model_size1300,146850,-0.038700122819463945,0.02114040988066861,-1.8306231070218006,0.06715884267444416,-0.08013490633100077,0.002734660692072885
