model,slug,condition,layer,mode,n,estimate,se,t,p,ci_lo,ci_hi
GPT-2-XL,gpt2-xl,default,48,mean_pooled,48950,-0.027119459540661726,0.002992777905242505,-9.061634507911885,1.3328994196114699e-19,-0.03298534679934419,-0.021253572281979265
GPT-2-XL,gpt2-xl,default,48,words_only,48950,-0.020709596082200656,0.0031740718810171096,-6.524614708966329,6.886413074560255e-11,-0.0269308221118321,-0.014488370052569212
OLMo-1B,allenai_OLMo-1B-hf,attn_zeroed,16,mean_pooled,48950,-0.05852428644961914,0.0024929532144550956,-23.475886394607393,3.5679410923482007e-121,-0.06341051020566452,-0.05363806269357377
OLMo-1B,allenai_OLMo-1B-hf,attn_zeroed,16,words_only,48950,-0.07139073073012926,0.002426473780596779,-29.42159577449507,1.477595069272756e-188,-0.07614665385031695,-0.06663480760994157
OLMo-1B,allenai_OLMo-1B-hf,default,16,mean_pooled,48950,-0.03628240359573143,0.0026356574856394263,-13.765978240123678,4.9455515097550216e-43,-0.04144832975289163,-0.031116477438571225
OLMo-1B,allenai_OLMo-1B-hf,default,16,words_only,48950,-0.03335984497379871,0.0028614059930814786,-11.658550046536085,2.291572574503717e-31,-0.03896824141622507,-0.027751448531372347
OLMo-7B,allenai_OLMo-7B-hf,attn_zeroed,32,mean_pooled,48950,-0.05317155018628834,0.0023571886736773948,-22.557188900512003,4.4754571273265645e-112,-0.05779167351151532,-0.048551426861061356
OLMo-7B,allenai_OLMo-7B-hf,attn_zeroed,32,words_only,48950,-0.06749305026174414,0.002357059049372338,-28.634433354445186,8.523607802749402e-179,-0.07211291952148964,-0.06287318100199864
OLMo-7B,allenai_OLMo-7B-hf,default,32,mean_pooled,48950,-0.03507316435449801,0.0025338299131938535,-13.841956862167134,1.730605777074981e-43,-0.04003950702143505,-0.03010682168756097
OLMo-7B,allenai_OLMo-7B-hf,default,32,words_only,48950,-0.03203378556214777,0.0028756348332135283,-11.139726502182455,8.729372038105922e-29,-0.03767007073360083,-0.0263975003906947
OLMo-2-7B,allenai_OLMo-2-1124-7B,attn_zeroed,32,mean_pooled,48950,-0.05927690486711025,0.0026930975423003337,-22.01067875784341,7.857757969352704e-107,-0.06455541435225981,-0.05399839538196069
OLMo-2-7B,allenai_OLMo-2-1124-7B,attn_zeroed,32,words_only,48950,-0.07416418817760045,0.0027315094404293657,-27.151357077478227,4.2410964335748195e-161,-0.0795179855293913,-0.06881039082580961
OLMo-2-7B,allenai_OLMo-2-1124-7B,default,32,mean_pooled,48950,-0.055018816010666334,0.0027369221613388847,-20.10244090528007,1.6666605327834897e-89,-0.06038322237242158,-0.04965440964891109
OLMo-2-7B,allenai_OLMo-2-1124-7B,default,32,words_only,48950,-0.04953715139088005,0.003073983903673704,-16.11496772370162,2.866120519645275e-58,-0.05556220356142976,-0.04351209922033034
Llama-3-8B,meta-llama_Meta-Llama-3-8B,attn_zeroed,32,mean_pooled,48950,-0.060552972394510275,0.00256419462164624,-23.614811404461427,1.3988936920706943e-122,-0.06557883032187224,-0.05552711446714831
Llama-3-8B,meta-llama_Meta-Llama-3-8B,attn_zeroed,32,words_only,48950,-0.07424815627208103,0.0025953693012468297,-28.607935000391585,1.7979454630783766e-178,-0.07933511701483811,-0.06916119552932395
Llama-3-8B,meta-llama_Meta-Llama-3-8B,default,32,mean_pooled,48950,-0.04366984803760532,0.00274602121961768,-15.902953599056797,8.493053819164253e-57,-0.049052088682997215,-0.03828760739221342
Llama-3-8B,meta-llama_Meta-Llama-3-8B,default,32,words_only,48950,-0.04376806767180847,0.0031027146385610095,-14.106378694273804,4.28503853097315e-45,-0.04984943249135656,-0.03768670285226038
