condition,model,median_abs_y,q25,q75,pct_below_0_5
default,125m,1.8804664611816406,0.8685927391052246,3.3803610801696777,14.736120832132501
default,350m,1.8261165618896484,0.8381810188293457,3.3002071380615234,15.205768699160693
default,1_3b,3.2112483978271484,1.4910993576049805,5.660056114196777,8.664517912493162
attn_zeroed,125m,1.7902565002441406,0.8220396041870117,3.199202537536621,15.389569523764713
attn_zeroed,350m,1.6516132354736328,0.7614555358886719,2.990635395050049,16.659706742108327
attn_zeroed,1_3b,2.9856348037719727,1.3871235847473145,5.254308223724365,9.253268713864758
