condition,model_a,model_b,bin,bin_lo,bin_hi,n,pearson,sign_agreement
default,125m,350m,all,,,340042,0.6253681859113972,0.6954082142794126
default,125m,1_3b,all,,,340042,0.36716415482453346,0.6103598967186407
default,350m,1_3b,all,,,340042,0.3637780512102553,0.6045547314743472
default,125m,350m,Q1,0.0,1.1809185028076172,68009,0.5430334657315767,0.6743666279463012
default,125m,350m,Q2,1.1809185028076172,2.4801132202148435,68008,0.5525413563636976,0.6754058346076932
default,125m,350m,Q3,2.4801132202148435,4.047262573242188,68008,0.5737310900054127,0.6806993294906482
default,125m,350m,Q4,4.047262573242188,6.384677124023438,68008,0.6082259950112632,0.6977855546406305
default,125m,350m,Q5,6.384677124023438,33.3116455088125,68009,0.7229361703244007,0.7487832492758312
default,125m,1_3b,Q1,0.0,0.6631416320800781,68009,0.17342967305797224,0.5600288197150377
default,125m,1_3b,Q2,0.6631416320800781,1.4001144409179687,68008,0.20455864586634032,0.5664627690859899
default,125m,1_3b,Q3,1.4001144409179687,2.3201622009277347,68008,0.25049089033514443,0.5878279025996942
default,125m,1_3b,Q4,2.3201622009277347,3.7654983520507805,68008,0.3290315661490676,0.621868015527585
default,125m,1_3b,Q5,3.7654983520507805,28.390106202171875,68009,0.5500632630257546,0.7156111691099707
default,350m,1_3b,Q1,0.0,0.6864120483398437,68009,0.1699254328177007,0.5514711288211854
default,350m,1_3b,Q2,0.6864120483398437,1.4449676513671874,68008,0.1860645017879019,0.55659628279026
default,350m,1_3b,Q3,1.4449676513671874,2.3798755645751957,68008,0.24486979403711176,0.5797700270556405
default,350m,1_3b,Q4,2.3798755645751957,3.834567642211914,68008,0.3234055896021847,0.6179861192800847
default,350m,1_3b,Q5,3.834567642211914,26.17381477455957,68009,0.5538983323182582,0.7169492273081504
attn_zeroed,125m,350m,all,,,340042,0.5618688018344502,0.6770575399509472
attn_zeroed,125m,1_3b,all,,,340042,0.3214600975766017,0.6002876115303404
attn_zeroed,350m,1_3b,all,,,340042,0.34122886968239846,0.6002287952664671
attn_zeroed,125m,350m,Q1,0.0,1.1021575927734375,68009,0.4903608538530567,0.659265685423988
attn_zeroed,125m,350m,Q2,1.1021575927734375,2.306622314453125,68008,0.49795511217042226,0.6581578637807317
attn_zeroed,125m,350m,Q3,2.306622314453125,3.7581512451171877,68008,0.5248109896406908,0.6678626043994824
attn_zeroed,125m,350m,Q4,3.7581512451171877,5.924424743652343,68008,0.5555999409473088,0.6815227620279967
attn_zeroed,125m,350m,Q5,5.924424743652343,32.36667251686914,68009,0.6419688888854643,0.7184784366774986
attn_zeroed,125m,1_3b,Q1,0.0,0.6033859252929688,68008,0.16209586632470413,0.5607722620868133
attn_zeroed,125m,1_3b,Q2,0.6033859252929688,1.2676563262939453,68009,0.1719083884831964,0.5600876354600126
attn_zeroed,125m,1_3b,Q3,1.2676563262939453,2.0984001159667987,68008,0.22114168221915148,0.5792994941771556
attn_zeroed,125m,1_3b,Q4,2.0984001159667987,3.4093704223632812,68008,0.2949581856885378,0.6093694859428302
attn_zeroed,125m,1_3b,Q5,3.4093704223632812,26.893295289085938,68009,0.48526786279874623,0.691908423885074
attn_zeroed,350m,1_3b,Q1,0.0,0.6517013549804688,68009,0.17811771726117176,0.5527650752106339
attn_zeroed,350m,1_3b,Q2,0.6517013549804688,1.3758804321289062,68008,0.19938185402335476,0.5605958122573815
attn_zeroed,350m,1_3b,Q3,1.3758804321289062,2.263639450073242,68007,0.2520117610885173,0.5794109429911627
attn_zeroed,350m,1_3b,Q4,2.263639450073242,3.6303497314453117,68009,0.32219173872440227,0.6141834169007043
attn_zeroed,350m,1_3b,Q5,3.6303497314453117,26.82439422707422,68009,0.4984752631655914,0.6941875340028526
