family,step,abstraction,abstraction_partial_freq,raw_gap,ablated_gap,memorization_did,memorization_own,ci_lo,ci_hi,n_unseen,n_high
EleutherAI_pythia-160m,16,0.0044297964566346005,0.0016072258166431317,0.02715309452243628,0.03071775910900216,-0.003564664586565878,0.0005184778859813401,-0.02279955455052508,0.07979270208169326,1726,21190
EleutherAI_pythia-160m,32,0.007169769811018246,0.0027856463408103683,0.027819407007732957,0.02938691922635886,-0.0015675122186259022,0.004579517751209501,-0.02232501773171204,0.08026919242384593,1726,21190
EleutherAI_pythia-160m,64,0.009569010372817271,0.007149532446221009,0.020294768625883024,0.022153565554152647,-0.0018587969282696237,0.016384707263451252,-0.03048328369152253,0.07490759646909045,1726,21190
EleutherAI_pythia-160m,256,0.06215744542773993,0.06595309507415377,0.015157324173588227,0.01956468880672093,-0.004407364633132703,0.08243736882568294,-0.03575152165377243,0.06535914974802932,1726,21190
EleutherAI_pythia-160m,512,0.12263828690115981,0.11149079054541652,0.0341449344867991,0.022346187857756925,0.011798746629042178,0.15836325870736814,-0.014279244012012738,0.08174883172791,1726,21190
EleutherAI_pythia-160m,1000,0.12352835643069289,0.11372040892748841,0.10484227657980284,0.005001405972530043,0.0998408706072728,0.22813052930147334,0.0567336677754685,0.15478773848817418,1726,21190
EleutherAI_pythia-160m,0,0.19806570876985943,0.18707084256175843,0.204353313426868,0.021151270091464752,0.18320204333540324,0.47381246047260184,0.156922636798123,0.25036187676170063,1726,21190
EleutherAI_pythia-410m,16,-0.002172596881181177,-0.005806821696683188,0.03754177198572088,0.036162244962954594,0.0013795270227662873,-0.000482537540666187,-0.012839609083002548,0.0897571682146643,1726,21190
EleutherAI_pythia-410m,32,-0.0023936467301225355,-0.007568988797561243,0.0394790012812808,0.03899567613691564,0.00048332514436515844,0.00246376392076595,-0.011287823090712114,0.09190419912155666,1726,21190
EleutherAI_pythia-410m,64,0.007247685613523093,0.004560940114305235,0.0407450607432099,0.041740072149834634,-0.000995011406624731,0.02019312070103056,-0.010138735299973792,0.09269014085877408,1726,21190
EleutherAI_pythia-410m,256,0.05227135569005776,0.05222854366387834,0.022392209632211633,0.025352232618395386,-0.0029600229861837524,0.06980395073562291,-0.028785957572547524,0.07261295900623418,1726,21190
EleutherAI_pythia-410m,512,0.07524318385721204,0.07199436047236396,0.05289607486651793,0.03414210936476615,0.018753965501751776,0.14741165520697502,0.00430724805773281,0.10238079338933381,1726,21190
EleutherAI_pythia-410m,1000,0.11967454511470586,0.11309427605992389,0.10286521498493927,0.019285242608078595,0.08357997237686067,0.22293533340482807,0.05623836793311184,0.15022588809269866,1726,21190
EleutherAI_pythia-410m,0,0.24168908947472634,0.22573493784774187,0.20968463160923773,0.00042208517088976327,0.20926254643834796,0.5443950299470504,0.16503388331403374,0.255518848765538,1726,21190
EleutherAI_pythia-1b,16,-0.0032775588521921787,-0.009527086475048588,0.03483720505693282,0.035434715585005126,-0.0005975105280723036,-0.0004919740524130851,-0.01584841519375285,0.08795166259141388,1726,21190
EleutherAI_pythia-1b,32,-0.0015779408209963485,-0.009046773962852556,0.03904317788128118,0.03913362138465237,-9.04435033711945e-05,0.0038727695010554184,-0.01050746193887847,0.09173431360592174,1726,21190
EleutherAI_pythia-1b,64,0.0066310859332072425,0.0008584366674445959,0.04324828481085549,0.04298579070621196,0.00026249410464353196,0.03679298342218145,-0.004787228435664598,0.09547513926206581,1726,21190
EleutherAI_pythia-1b,256,0.04080255683564082,0.03445590151767793,0.05169235169853303,0.040633188227498916,0.011059163471034111,0.09944442418047725,5.1952948492034114e-05,0.10286548569642126,1726,21190
EleutherAI_pythia-1b,512,0.08845840823624623,0.08244293677968223,0.07003660176421037,0.06871090889234863,0.001325692871861739,0.17859082264590545,0.020811373942028883,0.1214036611962752,1726,21190
EleutherAI_pythia-1b,1000,0.11139575512835001,0.09685316930840018,0.144421156250258,0.05099206917499241,0.0934290870752656,0.2624714769193208,0.09716459168879192,0.1909543660758035,1726,21190
EleutherAI_pythia-1b,0,0.27612286697029803,0.2595176358066923,0.19242443538367576,-0.006481349611251852,0.19890578499492761,0.5713335620908329,0.15068910380005357,0.23500796089624706,1726,21190
