model,condition,n,r2_probe,r2_behav,beta2_probe,beta2_probe_lo,beta2_probe_hi,beta2_behav,beta2_behav_lo,beta2_behav_hi
znhoughton_opt-babylm-125m-20eps-seed964,attn_zeroed,48950,0.17293922399343464,0.15461884704626846,0.024323992726165797,0.008335770181211434,0.04031221527112016,0.011040951436634222,-0.0054449849374130985,0.027526887810681543
znhoughton_opt-babylm-125m-20eps-seed964,default,48950,0.22078253565405723,0.16628405434359914,0.07293598793629343,0.05646964677653614,0.08940232909605071,0.07358701590604462,0.05618859211359762,0.09098543969849163
znhoughton_opt-babylm-350m-20eps-seed964,attn_zeroed,48950,0.15548573996612194,0.1593002619165835,0.02063592518564611,0.0056156374100519366,0.03565621296124028,0.012521093945568093,-0.0027594179403357556,0.02780160583147194
znhoughton_opt-babylm-350m-20eps-seed964,default,48950,0.22258527918023702,0.14981345307809113,0.0641063384029884,0.048157385189057704,0.0800552916169191,0.056498835583778134,0.039545232690453305,0.07345243847710296
znhoughton_opt-babylm-1_3b-20eps-seed964,attn_zeroed,48950,0.099641782677854,0.10715444927798291,0.008321185055740948,-0.017070870223305668,0.033713240334787564,-0.016187630033508843,-0.04160360970339848,0.009228349636380789
znhoughton_opt-babylm-1_3b-20eps-seed964,default,48950,0.15790520535036093,0.1360784437628868,0.06889121170745119,0.04115495439044235,0.09662746902446002,0.03862325508938559,0.010398192004791695,0.06684831817397949
EleutherAI_pythia-160m,attn_zeroed,48950,0.27620061121501677,0.06990754952858409,0.018783320380349966,0.003978295930964566,0.03358834482973537,0.007836962129508157,-0.009509035512930222,0.025182959771946536
EleutherAI_pythia-160m,default,48950,0.3152272388329347,0.09375199086688346,0.03791698428679234,0.022284845067572834,0.05354912350601185,0.051160633940544806,0.0325905336221287,0.06973073425896091
EleutherAI_pythia-410m,attn_zeroed,48950,0.2902062204359868,0.06612737116219801,0.013140673965878175,-0.0024073209824553455,0.028688668914211693,0.006831741559237686,-0.01153192838712195,0.025195411505597322
EleutherAI_pythia-410m,default,48950,0.3522298441457418,0.10862854102289625,0.024678512443665594,0.008153162992544982,0.041203861894786205,0.052370977727694654,0.03226659523631134,0.07247536021907797
EleutherAI_pythia-1b,attn_zeroed,48950,0.34885507307442604,0.07091350595114701,0.013198835188554386,-0.0023985532460385293,0.0287962236231473,0.014300552664204186,-0.004778098038624747,0.03337920336703312
EleutherAI_pythia-1b,default,48950,0.4151467963472684,0.1259980529061282,0.04201322975526143,0.02616006399070297,0.05786639551981989,0.06587875725458314,0.04573861908879444,0.08601889542037185
