item_set,condition,model_a,model_b,family_a,family_b,same_family,pearson,spearman,pearson_resid,n
attested,default,znhoughton_opt-babylm-350m-20eps-seed964,allenai_OLMo-2-1124-7B,BabyLM,OLMo,False,0.3810591306230907,0.33033792578624394,0.3554999494659555,48950
attested,default,znhoughton_opt-babylm-350m-20eps-seed964,meta-llama_Llama-3.2-1B,BabyLM,Llama,False,0.3886577696943398,0.33588458501727747,0.3657573875164909,48950
attested,default,znhoughton_opt-babylm-350m-20eps-seed964,meta-llama_Meta-Llama-3-8B,BabyLM,Llama,False,0.37865066986529866,0.33199338020387764,0.3539212051437858,48950
attested,default,znhoughton_opt-babylm-1_3b-20eps-seed964,gpt2,BabyLM,GPT-2,False,0.34921209316448126,0.327118055596305,0.3121489183479707,48950
attested,default,znhoughton_opt-babylm-1_3b-20eps-seed964,gpt2-medium,BabyLM,GPT-2,False,0.3571706874152013,0.3293010831792863,0.3208348538873741,48950
attested,default,znhoughton_opt-babylm-1_3b-20eps-seed964,gpt2-large,BabyLM,GPT-2,False,0.36186050435814604,0.33189912325905785,0.3248729647330343,48950
attested,default,znhoughton_opt-babylm-1_3b-20eps-seed964,gpt2-xl,BabyLM,GPT-2,False,0.3620293442927849,0.33070937653551635,0.3237848587351821,48950
attested,default,znhoughton_opt-babylm-1_3b-20eps-seed964,EleutherAI_pythia-160m,BabyLM,Pythia,False,0.34305943821652163,0.3257915437775713,0.30747246320967975,48950
attested,default,znhoughton_opt-babylm-1_3b-20eps-seed964,EleutherAI_pythia-410m,BabyLM,Pythia,False,0.37183610350154767,0.3437451503102313,0.33260436898029966,48950
attested,default,znhoughton_opt-babylm-1_3b-20eps-seed964,EleutherAI_pythia-1b,BabyLM,Pythia,False,0.38138969036396975,0.3518115942562303,0.3400594486923698,48950
attested,default,znhoughton_opt-babylm-1_3b-20eps-seed964,allenai_OLMo-1B-hf,BabyLM,OLMo,False,0.36685367531005925,0.34211438254800025,0.3277665824612025,48950
attested,default,znhoughton_opt-babylm-1_3b-20eps-seed964,allenai_OLMo-7B-hf,BabyLM,OLMo,False,0.37500692948360526,0.3562215179885011,0.3343943731882913,48950
attested,default,znhoughton_opt-babylm-1_3b-20eps-seed964,allenai_OLMo-2-0425-1B,BabyLM,OLMo,False,0.3657315690222887,0.3388304710497052,0.3255514786079897,48950
attested,default,znhoughton_opt-babylm-1_3b-20eps-seed964,allenai_OLMo-2-1124-7B,BabyLM,OLMo,False,0.37074449403395143,0.3564696971563153,0.3290341772840282,48950
attested,default,znhoughton_opt-babylm-1_3b-20eps-seed964,meta-llama_Llama-3.2-1B,BabyLM,Llama,False,0.3707396546024564,0.34789098227959653,0.334195699329871,48950
attested,default,znhoughton_opt-babylm-1_3b-20eps-seed964,meta-llama_Meta-Llama-3-8B,BabyLM,Llama,False,0.3714210604392765,0.36126951949626224,0.33185438754089164,48950
attested,default,gpt2,gpt2-medium,GPT-2,GPT-2,True,0.7662178547000323,0.7009834953721146,0.7550568532075949,48950
attested,default,gpt2,gpt2-large,GPT-2,GPT-2,True,0.7323787343730492,0.6629336312691553,0.7193251745354655,48950
attested,default,gpt2,gpt2-xl,GPT-2,GPT-2,True,0.6937588581706948,0.6237411245004328,0.678367589106508,48950
attested,default,gpt2,EleutherAI_pythia-160m,GPT-2,Pythia,False,0.6592165212884632,0.60346777915883,0.643784791805341,48950
attested,default,gpt2,EleutherAI_pythia-410m,GPT-2,Pythia,False,0.663694533173798,0.6011120661674372,0.6463833408217566,48950
attested,default,gpt2,EleutherAI_pythia-1b,GPT-2,Pythia,False,0.6450430105365355,0.5767943956920765,0.625922331473567,48950
attested,default,gpt2,allenai_OLMo-1B-hf,GPT-2,OLMo,False,0.6238620254077131,0.5567496723338511,0.6044827742722211,48950
attested,default,gpt2,allenai_OLMo-7B-hf,GPT-2,OLMo,False,0.5850097694825794,0.5227063202854778,0.5627602508153038,48950
attested,default,gpt2,allenai_OLMo-2-0425-1B,GPT-2,OLMo,False,0.5863679883255029,0.5243101301574201,0.5648046259450029,48950
attested,default,gpt2,allenai_OLMo-2-1124-7B,GPT-2,OLMo,False,0.5395933733595494,0.4898335091558509,0.5147323189893492,48950
attested,default,gpt2,meta-llama_Llama-3.2-1B,GPT-2,Llama,False,0.5539703211379169,0.5097388948672495,0.5319480493127146,48950
attested,default,gpt2,meta-llama_Meta-Llama-3-8B,GPT-2,Llama,False,0.5062518986758682,0.4730754330456059,0.48046699759999323,48950
attested,default,gpt2-medium,gpt2-large,GPT-2,GPT-2,True,0.8264623457359743,0.7626438108369845,0.8179900513399005,48950
attested,default,gpt2-medium,gpt2-xl,GPT-2,GPT-2,True,0.8022177326578728,0.7329670091198353,0.7922855058354565,48950
attested,default,gpt2-medium,EleutherAI_pythia-160m,GPT-2,Pythia,False,0.6400971275391634,0.5811017788471334,0.6238011837553847,48950
attested,default,gpt2-medium,EleutherAI_pythia-410m,GPT-2,Pythia,False,0.7139533529717411,0.6470013516702898,0.6992537901263893,48950
attested,default,gpt2-medium,EleutherAI_pythia-1b,GPT-2,Pythia,False,0.713194466757616,0.639711073972582,0.6978599637674185,48950
attested,default,gpt2-medium,allenai_OLMo-1B-hf,GPT-2,OLMo,False,0.6972238246696156,0.6221702237795973,0.6816315463691066,48950
attested,default,gpt2-medium,allenai_OLMo-7B-hf,GPT-2,OLMo,False,0.6610702736295242,0.5878984237100588,0.642951750668756,48950
attested,default,gpt2-medium,allenai_OLMo-2-0425-1B,GPT-2,OLMo,False,0.6542180939598317,0.5815559608350479,0.6362253531641124,48950
attested,default,gpt2-medium,allenai_OLMo-2-1124-7B,GPT-2,OLMo,False,0.6051809062348067,0.5417927391052447,0.5839302986211404,48950
attested,default,gpt2-medium,meta-llama_Llama-3.2-1B,GPT-2,Llama,False,0.6405147586402152,0.5817201466602231,0.6227348091926996,48950
attested,default,gpt2-medium,meta-llama_Meta-Llama-3-8B,GPT-2,Llama,False,0.5833889867775844,0.5312361520838665,0.561648143198176,48950
attested,default,gpt2-large,gpt2-xl,GPT-2,GPT-2,True,0.8398557896964908,0.7743337799449967,0.8316106094174074,48950
attested,default,gpt2-large,EleutherAI_pythia-160m,GPT-2,Pythia,False,0.6317905737300563,0.5708488216286665,0.6147818232209484,48950
attested,default,gpt2-large,EleutherAI_pythia-410m,GPT-2,Pythia,False,0.7260719266885349,0.658669848010621,0.7116315870479072,48950
attested,default,gpt2-large,EleutherAI_pythia-1b,GPT-2,Pythia,False,0.741418456702471,0.6666228515220538,0.7272260987249669,48950
attested,default,gpt2-large,allenai_OLMo-1B-hf,GPT-2,OLMo,False,0.7245870830539788,0.6474072761518365,0.7100488027832457,48950
attested,default,gpt2-large,allenai_OLMo-7B-hf,GPT-2,OLMo,False,0.6973350014601927,0.6219516771360714,0.6807480202450461,48950
attested,default,gpt2-large,allenai_OLMo-2-0425-1B,GPT-2,OLMo,False,0.6876420333063356,0.6152384725592024,0.6709850557756772,48950
attested,default,gpt2-large,allenai_OLMo-2-1124-7B,GPT-2,OLMo,False,0.6370709154473062,0.5682789698367575,0.6170496213668938,48950
attested,default,gpt2-large,meta-llama_Llama-3.2-1B,GPT-2,Llama,False,0.6770227353018727,0.6133578904834248,0.6606842389931284,48950
attested,default,gpt2-large,meta-llama_Meta-Llama-3-8B,GPT-2,Llama,False,0.6155755438293529,0.5598415149531629,0.5950291039794823,48950
