item_set,condition,model_a,model_b,family_a,family_b,same_family,pearson,spearman,pearson_resid,n
attested,attn_zeroed,gpt2,allenai_OLMo-2-0425-1B,GPT-2,OLMo,False,0.3467969899620192,0.42271812369932155,0.3421411136732982,48950
attested,attn_zeroed,gpt2,allenai_OLMo-2-1124-7B,GPT-2,OLMo,False,0.3112413027211338,0.3705785521321112,0.30629436332289756,48950
attested,attn_zeroed,gpt2,meta-llama_Llama-3.2-1B,GPT-2,Llama,False,0.3688251694615308,0.4330912485887362,0.36622866977818963,48950
attested,attn_zeroed,gpt2,meta-llama_Meta-Llama-3-8B,GPT-2,Llama,False,0.3297049397888546,0.37747862866614057,0.32575773000803077,48950
attested,attn_zeroed,gpt2-medium,gpt2-large,GPT-2,GPT-2,True,0.7771116809848733,0.703857996450934,0.7766198750180553,48950
attested,attn_zeroed,gpt2-medium,gpt2-xl,GPT-2,GPT-2,True,0.7765678625565325,0.6734151140476706,0.7755120666595855,48950
attested,attn_zeroed,gpt2-medium,EleutherAI_pythia-160m,GPT-2,Pythia,False,0.4113011485218803,0.48458519092401203,0.4150057809080473,48950
attested,attn_zeroed,gpt2-medium,EleutherAI_pythia-410m,GPT-2,Pythia,False,0.45930090092196546,0.5216470532891857,0.45863346454519766,48950
attested,attn_zeroed,gpt2-medium,EleutherAI_pythia-1b,GPT-2,Pythia,False,0.4547239126238245,0.5061133084745689,0.4509342218105797,48950
attested,attn_zeroed,gpt2-medium,allenai_OLMo-1B-hf,GPT-2,OLMo,False,0.46582986304292673,0.5088666768600834,0.46385756717588755,48950
attested,attn_zeroed,gpt2-medium,allenai_OLMo-7B-hf,GPT-2,OLMo,False,0.4353656450363259,0.4680298436843709,0.43307445317357957,48950
attested,attn_zeroed,gpt2-medium,allenai_OLMo-2-0425-1B,GPT-2,OLMo,False,0.42514389859794005,0.4686106942676908,0.4217775624055756,48950
attested,attn_zeroed,gpt2-medium,allenai_OLMo-2-1124-7B,GPT-2,OLMo,False,0.39084535490226646,0.4231020159322292,0.38716945577449813,48950
attested,attn_zeroed,gpt2-medium,meta-llama_Llama-3.2-1B,GPT-2,Llama,False,0.45188385671142767,0.48483585661773176,0.4495966775447863,48950
attested,attn_zeroed,gpt2-medium,meta-llama_Meta-Llama-3-8B,GPT-2,Llama,False,0.405218796406217,0.42830020839366006,0.40204558203374435,48950
attested,attn_zeroed,gpt2-large,gpt2-xl,GPT-2,GPT-2,True,0.792614470821634,0.7088460891093513,0.7919941702672958,48950
attested,attn_zeroed,gpt2-large,EleutherAI_pythia-160m,GPT-2,Pythia,False,0.4791068591519404,0.4891884796579231,0.4807706802238412,48950
attested,attn_zeroed,gpt2-large,EleutherAI_pythia-410m,GPT-2,Pythia,False,0.5392975797506031,0.5382444876909014,0.5378466405327104,48950
attested,attn_zeroed,gpt2-large,EleutherAI_pythia-1b,GPT-2,Pythia,False,0.5433434107434605,0.5332024638074804,0.5419341512271165,48950
attested,attn_zeroed,gpt2-large,allenai_OLMo-1B-hf,GPT-2,OLMo,False,0.5563861735440944,0.5393025345413787,0.5543362768531681,48950
attested,attn_zeroed,gpt2-large,allenai_OLMo-7B-hf,GPT-2,OLMo,False,0.5270258897010665,0.5040895147240421,0.5247346494676098,48950
attested,attn_zeroed,gpt2-large,allenai_OLMo-2-0425-1B,GPT-2,OLMo,False,0.5113370474644828,0.4996793656498915,0.509006820038536,48950
attested,attn_zeroed,gpt2-large,allenai_OLMo-2-1124-7B,GPT-2,OLMo,False,0.47065154666367714,0.45463096732775127,0.46781168469370005,48950
attested,attn_zeroed,gpt2-large,meta-llama_Llama-3.2-1B,GPT-2,Llama,False,0.5262239168086906,0.5047610494913034,0.5240562809823988,48950
attested,attn_zeroed,gpt2-large,meta-llama_Meta-Llama-3-8B,GPT-2,Llama,False,0.47887838021245255,0.4546927605776062,0.4761009931091366,48950
attested,attn_zeroed,gpt2-xl,EleutherAI_pythia-160m,GPT-2,Pythia,False,0.4166853958393066,0.4528945676282267,0.4201375047406431,48950
attested,attn_zeroed,gpt2-xl,EleutherAI_pythia-410m,GPT-2,Pythia,False,0.4957400330826429,0.5209258858247572,0.4946525459370459,48950
attested,attn_zeroed,gpt2-xl,EleutherAI_pythia-1b,GPT-2,Pythia,False,0.5061504986690222,0.5252486969306067,0.5022694792150377,48950
attested,attn_zeroed,gpt2-xl,allenai_OLMo-1B-hf,GPT-2,OLMo,False,0.5235941460678247,0.5337368348855223,0.5212338979305545,48950
attested,attn_zeroed,gpt2-xl,allenai_OLMo-7B-hf,GPT-2,OLMo,False,0.5036486061815447,0.5105905981355545,0.5009972614203894,48950
attested,attn_zeroed,gpt2-xl,allenai_OLMo-2-0425-1B,GPT-2,OLMo,False,0.4886816752880938,0.5017725376337235,0.4851236702457339,48950
attested,attn_zeroed,gpt2-xl,allenai_OLMo-2-1124-7B,GPT-2,OLMo,False,0.45592171820511634,0.46139205602756905,0.4519221119663791,48950
attested,attn_zeroed,gpt2-xl,meta-llama_Llama-3.2-1B,GPT-2,Llama,False,0.5175554072918851,0.5148522563475031,0.5150280120779864,48950
attested,attn_zeroed,gpt2-xl,meta-llama_Meta-Llama-3-8B,GPT-2,Llama,False,0.4742135098831892,0.4689298128020083,0.470700709989085,48950
attested,attn_zeroed,EleutherAI_pythia-160m,EleutherAI_pythia-410m,Pythia,Pythia,True,0.6632824134045461,0.5724164491378718,0.6637162284829274,48950
attested,attn_zeroed,EleutherAI_pythia-160m,EleutherAI_pythia-1b,Pythia,Pythia,True,0.6006486569964762,0.5128257556216954,0.6104577259263557,48950
attested,attn_zeroed,EleutherAI_pythia-160m,allenai_OLMo-1B-hf,Pythia,OLMo,False,0.6006634683519533,0.5048687290920335,0.6027251657544423,48950
attested,attn_zeroed,EleutherAI_pythia-160m,allenai_OLMo-7B-hf,Pythia,OLMo,False,0.5728425933367945,0.47521446903292,0.5749627600323799,48950
attested,attn_zeroed,EleutherAI_pythia-160m,allenai_OLMo-2-0425-1B,Pythia,OLMo,False,0.521605903773456,0.45006498866854183,0.526235541980695,48950
attested,attn_zeroed,EleutherAI_pythia-160m,allenai_OLMo-2-1124-7B,Pythia,OLMo,False,0.47643082439700446,0.4127873810329612,0.48038719346807207,48950
attested,attn_zeroed,EleutherAI_pythia-160m,meta-llama_Llama-3.2-1B,Pythia,Llama,False,0.4824924574605881,0.4317180096196331,0.48436161397621336,48950
attested,attn_zeroed,EleutherAI_pythia-160m,meta-llama_Meta-Llama-3-8B,Pythia,Llama,False,0.4341269853190225,0.3852993827769014,0.4366051188717917,48950
attested,attn_zeroed,EleutherAI_pythia-410m,EleutherAI_pythia-1b,Pythia,Pythia,True,0.7167212397762603,0.6312687479982376,0.7190997392527839,48950
attested,attn_zeroed,EleutherAI_pythia-410m,allenai_OLMo-1B-hf,Pythia,OLMo,False,0.6942055746844018,0.5993106268436094,0.6926009999603568,48950
attested,attn_zeroed,EleutherAI_pythia-410m,allenai_OLMo-7B-hf,Pythia,OLMo,False,0.677978805004436,0.5822738860213797,0.6762541219440552,48950
attested,attn_zeroed,EleutherAI_pythia-410m,allenai_OLMo-2-0425-1B,Pythia,OLMo,False,0.6247006503131619,0.5493478547079247,0.6239468443610825,48950
attested,attn_zeroed,EleutherAI_pythia-410m,allenai_OLMo-2-1124-7B,Pythia,OLMo,False,0.5788521315251199,0.502847858118348,0.5772416701325203,48950
attested,attn_zeroed,EleutherAI_pythia-410m,meta-llama_Llama-3.2-1B,Pythia,Llama,False,0.5898076983204021,0.5176325000344898,0.5879702833579838,48950
attested,attn_zeroed,EleutherAI_pythia-410m,meta-llama_Meta-Llama-3-8B,Pythia,Llama,False,0.5464574078971635,0.47928241622130147,0.544129392097224,48950
attested,attn_zeroed,EleutherAI_pythia-1b,allenai_OLMo-1B-hf,Pythia,OLMo,False,0.6881664347375307,0.5985295845059605,0.6874578701033268,48950
attested,attn_zeroed,EleutherAI_pythia-1b,allenai_OLMo-7B-hf,Pythia,OLMo,False,0.679340484632555,0.5909080436985007,0.6782323658697731,48950
attested,attn_zeroed,EleutherAI_pythia-1b,allenai_OLMo-2-0425-1B,Pythia,OLMo,False,0.6342248911744957,0.5564675584351145,0.630485638238701,48950
attested,attn_zeroed,EleutherAI_pythia-1b,allenai_OLMo-2-1124-7B,Pythia,OLMo,False,0.5912719794954526,0.515236062978784,0.5867728727527499,48950
attested,attn_zeroed,EleutherAI_pythia-1b,meta-llama_Llama-3.2-1B,Pythia,Llama,False,0.5977960436338915,0.5215435853105563,0.595705838739585,48950
attested,attn_zeroed,EleutherAI_pythia-1b,meta-llama_Meta-Llama-3-8B,Pythia,Llama,False,0.5582459674217316,0.48587454315816236,0.5541542959999026,48950
attested,attn_zeroed,allenai_OLMo-1B-hf,allenai_OLMo-7B-hf,OLMo,OLMo,True,0.7575949204364992,0.6738408261595146,0.7555031871419092,48950
attested,attn_zeroed,allenai_OLMo-1B-hf,allenai_OLMo-2-0425-1B,OLMo,OLMo,True,0.6643514442197439,0.5853255147130245,0.6621495549820157,48950
attested,attn_zeroed,allenai_OLMo-1B-hf,allenai_OLMo-2-1124-7B,OLMo,OLMo,True,0.6313831353097153,0.5547077964767481,0.6282826206319941,48950
attested,attn_zeroed,allenai_OLMo-1B-hf,meta-llama_Llama-3.2-1B,OLMo,Llama,False,0.6546268499317163,0.5797937154899194,0.6522002422855383,48950
attested,attn_zeroed,allenai_OLMo-1B-hf,meta-llama_Meta-Llama-3-8B,OLMo,Llama,False,0.6183480202225629,0.5506965836779941,0.6149536248046411,48950
attested,attn_zeroed,allenai_OLMo-7B-hf,allenai_OLMo-2-0425-1B,OLMo,OLMo,True,0.6838604159478694,0.6060203826411533,0.6816413338309943,48950
attested,attn_zeroed,allenai_OLMo-7B-hf,allenai_OLMo-2-1124-7B,OLMo,OLMo,True,0.6887689806292486,0.6141029725534638,0.6859747082776461,48950
attested,attn_zeroed,allenai_OLMo-7B-hf,meta-llama_Llama-3.2-1B,OLMo,Llama,False,0.6693987935680752,0.593660268345314,0.6669660803286399,48950
attested,attn_zeroed,allenai_OLMo-7B-hf,meta-llama_Meta-Llama-3-8B,OLMo,Llama,False,0.6817999226096313,0.6169473840398237,0.6787630009240132,48950
attested,attn_zeroed,allenai_OLMo-2-0425-1B,allenai_OLMo-2-1124-7B,OLMo,OLMo,True,0.7456225374401463,0.6572574280706249,0.743101601060042,48950
attested,attn_zeroed,allenai_OLMo-2-0425-1B,meta-llama_Llama-3.2-1B,OLMo,Llama,False,0.6495135564090825,0.5906250694597571,0.6471527042133185,48950
attested,attn_zeroed,allenai_OLMo-2-0425-1B,meta-llama_Meta-Llama-3-8B,OLMo,Llama,False,0.6265191294505754,0.5695086614684315,0.6230678913581025,48950
attested,attn_zeroed,allenai_OLMo-2-1124-7B,meta-llama_Llama-3.2-1B,OLMo,Llama,False,0.6207932780578188,0.5554580573600852,0.6178153078941295,48950
attested,attn_zeroed,allenai_OLMo-2-1124-7B,meta-llama_Meta-Llama-3-8B,OLMo,Llama,False,0.6903083188676796,0.6257981726682073,0.6869009314199737,48950
attested,attn_zeroed,meta-llama_Llama-3.2-1B,meta-llama_Meta-Llama-3-8B,Llama,Llama,True,0.7239334786608956,0.6346960264114351,0.7218129403897495,48950
novel,default,znhoughton_opt-babylm-125m-20eps-seed964,znhoughton_opt-babylm-350m-20eps-seed964,BabyLM,BabyLM,True,0.6253681859113972,0.5678380380559872,0.6235677301133276,340042
novel,default,znhoughton_opt-babylm-125m-20eps-seed964,znhoughton_opt-babylm-1_3b-20eps-seed964,BabyLM,BabyLM,True,0.36716415482453346,0.32935641280214806,0.36140060033344795,340042
novel,default,znhoughton_opt-babylm-125m-20eps-seed964,gpt2,BabyLM,GPT-2,False,0.23700429661117356,0.21637718614629137,0.2221798681929816,340042
novel,default,znhoughton_opt-babylm-125m-20eps-seed964,gpt2-medium,BabyLM,GPT-2,False,0.22637820998920166,0.20092509439981496,0.21392492904113564,340042
novel,default,znhoughton_opt-babylm-125m-20eps-seed964,gpt2-large,BabyLM,GPT-2,False,0.2272450062671022,0.19798523981226718,0.21459844383823307,340042
novel,default,znhoughton_opt-babylm-125m-20eps-seed964,gpt2-xl,BabyLM,GPT-2,False,0.22648132390067743,0.19572647054876785,0.21407162531690094,340042
novel,default,znhoughton_opt-babylm-125m-20eps-seed964,EleutherAI_pythia-160m,BabyLM,Pythia,False,0.23631497659916306,0.21477629906005402,0.2220116878639359,340042
novel,default,znhoughton_opt-babylm-125m-20eps-seed964,EleutherAI_pythia-410m,BabyLM,Pythia,False,0.23120219387250188,0.20234018940402881,0.2173384321402676,340042
novel,default,znhoughton_opt-babylm-125m-20eps-seed964,EleutherAI_pythia-1b,BabyLM,Pythia,False,0.22973619747692867,0.20091879331704274,0.2153993558243571,340042
novel,default,znhoughton_opt-babylm-125m-20eps-seed964,allenai_OLMo-1B-hf,BabyLM,OLMo,False,0.2219845453636224,0.19371088212009335,0.21079982585004411,340042
novel,default,znhoughton_opt-babylm-125m-20eps-seed964,allenai_OLMo-7B-hf,BabyLM,OLMo,False,0.21459198492047032,0.19084402898450448,0.20284416238269837,340042
novel,default,znhoughton_opt-babylm-125m-20eps-seed964,allenai_OLMo-2-0425-1B,BabyLM,OLMo,False,0.21726701931631354,0.18839778274344987,0.20479351567744497,340042
novel,default,znhoughton_opt-babylm-125m-20eps-seed964,allenai_OLMo-2-1124-7B,BabyLM,OLMo,False,0.20565091322589044,0.18084090219570437,0.1931443594328208,340042
novel,default,znhoughton_opt-babylm-125m-20eps-seed964,meta-llama_Llama-3.2-1B,BabyLM,Llama,False,0.2011990201646306,0.17270144828435505,0.19659017018926153,340042
novel,default,znhoughton_opt-babylm-125m-20eps-seed964,meta-llama_Meta-Llama-3-8B,BabyLM,Llama,False,0.18553228643221253,0.17262872208044244,0.17919498797699235,340042
novel,default,znhoughton_opt-babylm-350m-20eps-seed964,znhoughton_opt-babylm-1_3b-20eps-seed964,BabyLM,BabyLM,True,0.3637780512102553,0.32051124707491285,0.360706915884451,340042
novel,default,znhoughton_opt-babylm-350m-20eps-seed964,gpt2,BabyLM,GPT-2,False,0.23336850585957958,0.20690509530704437,0.22691478217655026,340042
novel,default,znhoughton_opt-babylm-350m-20eps-seed964,gpt2-medium,BabyLM,GPT-2,False,0.21577061725951158,0.1900342152985479,0.20914159013321706,340042
novel,default,znhoughton_opt-babylm-350m-20eps-seed964,gpt2-large,BabyLM,GPT-2,False,0.21149238188234654,0.18396286429299585,0.20469357967022328,340042
novel,default,znhoughton_opt-babylm-350m-20eps-seed964,gpt2-xl,BabyLM,GPT-2,False,0.20879231177115223,0.1810494992797235,0.20204742826213512,340042
novel,default,znhoughton_opt-babylm-350m-20eps-seed964,EleutherAI_pythia-160m,BabyLM,Pythia,False,0.2238146294461234,0.20375157261370513,0.21657929898919331,340042
novel,default,znhoughton_opt-babylm-350m-20eps-seed964,EleutherAI_pythia-410m,BabyLM,Pythia,False,0.21023680627828745,0.18550439044378006,0.20290763285261343,340042
novel,default,znhoughton_opt-babylm-350m-20eps-seed964,EleutherAI_pythia-1b,BabyLM,Pythia,False,0.20620492535970314,0.18209909207114586,0.19862744629293877,340042
novel,default,znhoughton_opt-babylm-350m-20eps-seed964,allenai_OLMo-1B-hf,BabyLM,OLMo,False,0.20092756870772538,0.17752321158838807,0.19463069957551027,340042
novel,default,znhoughton_opt-babylm-350m-20eps-seed964,allenai_OLMo-7B-hf,BabyLM,OLMo,False,0.19594015782689134,0.17493997840676223,0.18940021514329253,340042
novel,default,znhoughton_opt-babylm-350m-20eps-seed964,allenai_OLMo-2-0425-1B,BabyLM,OLMo,False,0.1922449346143787,0.16815901920297166,0.18527638678320926,340042
novel,default,znhoughton_opt-babylm-350m-20eps-seed964,allenai_OLMo-2-1124-7B,BabyLM,OLMo,False,0.17976509946641372,0.1591147181811689,0.1726866702166962,340042
novel,default,znhoughton_opt-babylm-350m-20eps-seed964,meta-llama_Llama-3.2-1B,BabyLM,Llama,False,0.18043265866588096,0.15624751187518685,0.17740368827630185,340042
novel,default,znhoughton_opt-babylm-350m-20eps-seed964,meta-llama_Meta-Llama-3-8B,BabyLM,Llama,False,0.16335120885092566,0.15175438189849405,0.15933990136474308,340042
novel,default,znhoughton_opt-babylm-1_3b-20eps-seed964,gpt2,BabyLM,GPT-2,False,0.17135104994179434,0.16414903237187353,0.146724933510816,340042
novel,default,znhoughton_opt-babylm-1_3b-20eps-seed964,gpt2-medium,BabyLM,GPT-2,False,0.15622712239237432,0.14826554061225977,0.13880798905464012,340042
novel,default,znhoughton_opt-babylm-1_3b-20eps-seed964,gpt2-large,BabyLM,GPT-2,False,0.15497613628386203,0.1449302717865892,0.13766393613328057,340042
novel,default,znhoughton_opt-babylm-1_3b-20eps-seed964,gpt2-xl,BabyLM,GPT-2,False,0.1521629341581578,0.14109520119131713,0.13511513171568945,340042
novel,default,znhoughton_opt-babylm-1_3b-20eps-seed964,EleutherAI_pythia-160m,BabyLM,Pythia,False,0.16783150427363364,0.16062313602372846,0.14920983957730138,340042
novel,default,znhoughton_opt-babylm-1_3b-20eps-seed964,EleutherAI_pythia-410m,BabyLM,Pythia,False,0.1626321765802367,0.14999242142021413,0.14441520887919604,340042
novel,default,znhoughton_opt-babylm-1_3b-20eps-seed964,EleutherAI_pythia-1b,BabyLM,Pythia,False,0.16010213531647471,0.14973473893730108,0.14153730543321474,340042
novel,default,znhoughton_opt-babylm-1_3b-20eps-seed964,allenai_OLMo-1B-hf,BabyLM,OLMo,False,0.16275234915052886,0.14949820434663325,0.14691973751599272,340042
novel,default,znhoughton_opt-babylm-1_3b-20eps-seed964,allenai_OLMo-7B-hf,BabyLM,OLMo,False,0.1553393880400648,0.1466678441411693,0.1381644757704949,340042
novel,default,znhoughton_opt-babylm-1_3b-20eps-seed964,allenai_OLMo-2-0425-1B,BabyLM,OLMo,False,0.15187415734252718,0.13998858864256894,0.1350818867902484,340042
novel,default,znhoughton_opt-babylm-1_3b-20eps-seed964,allenai_OLMo-2-1124-7B,BabyLM,OLMo,False,0.14523214368162346,0.1357709007777799,0.12785008169086687,340042
novel,default,znhoughton_opt-babylm-1_3b-20eps-seed964,meta-llama_Llama-3.2-1B,BabyLM,Llama,False,0.15944222225702592,0.14115232706210115,0.148490379404504,340042
novel,default,znhoughton_opt-babylm-1_3b-20eps-seed964,meta-llama_Meta-Llama-3-8B,BabyLM,Llama,False,0.14510477345739625,0.13868061344920213,0.1329044958200163,340042
novel,default,gpt2,gpt2-medium,GPT-2,GPT-2,True,0.7214606122800518,0.6732061466429503,0.7114359941934081,340042
novel,default,gpt2,gpt2-large,GPT-2,GPT-2,True,0.7079269772717818,0.6557897306126633,0.6973748323807196,340042
novel,default,gpt2,gpt2-xl,GPT-2,GPT-2,True,0.6637099545508155,0.6138386346626928,0.6514963735760394,340042
novel,default,gpt2,EleutherAI_pythia-160m,GPT-2,Pythia,False,0.5777997232047767,0.5362153655606882,0.5579445511346124,340042
novel,default,gpt2,EleutherAI_pythia-410m,GPT-2,Pythia,False,0.5666357672282373,0.525632288576411,0.547143403133634,340042
novel,default,gpt2,EleutherAI_pythia-1b,GPT-2,Pythia,False,0.5394118706218269,0.497737244964873,0.5179421393128434,340042
novel,default,gpt2,allenai_OLMo-1B-hf,GPT-2,OLMo,False,0.49998119327658425,0.46187576143183157,0.4819950558077847,340042
novel,default,gpt2,allenai_OLMo-7B-hf,GPT-2,OLMo,False,0.4861337619130286,0.44785101219461765,0.46545543218954377,340042
novel,default,gpt2,allenai_OLMo-2-0425-1B,GPT-2,OLMo,False,0.4542633619330121,0.41839260652975185,0.43241225478368506,340042
novel,default,gpt2,allenai_OLMo-2-1124-7B,GPT-2,OLMo,False,0.41751180526384674,0.38910587173609096,0.39328219103997375,340042
novel,default,gpt2,meta-llama_Llama-3.2-1B,GPT-2,Llama,False,0.32485992769123134,0.32664337199189086,0.31144340271324245,340042
novel,default,gpt2,meta-llama_Meta-Llama-3-8B,GPT-2,Llama,False,0.29321044245231687,0.30922176291741077,0.2758661038225749,340042
novel,default,gpt2-medium,gpt2-large,GPT-2,GPT-2,True,0.8221708556180746,0.7665136670314683,0.8166551822572946,340042
novel,default,gpt2-medium,gpt2-xl,GPT-2,GPT-2,True,0.7932648085634877,0.738242619588166,0.7869908117235511,340042
novel,default,gpt2-medium,EleutherAI_pythia-160m,GPT-2,Pythia,False,0.5375346646230539,0.5057332160624116,0.521464550558364,340042
novel,default,gpt2-medium,EleutherAI_pythia-410m,GPT-2,Pythia,False,0.5980119647076134,0.5625312734346857,0.5845316529869271,340042
novel,default,gpt2-medium,EleutherAI_pythia-1b,GPT-2,Pythia,False,0.5926043004041402,0.5526276755279621,0.5786872792321243,340042
novel,default,gpt2-medium,allenai_OLMo-1B-hf,GPT-2,OLMo,False,0.5765891562376506,0.5320167389797605,0.5648913643352904,340042
novel,default,gpt2-medium,allenai_OLMo-7B-hf,GPT-2,OLMo,False,0.5592065531730911,0.5124937700039993,0.5461483664083572,340042
novel,default,gpt2-medium,allenai_OLMo-2-0425-1B,GPT-2,OLMo,False,0.5210884447239755,0.4782202454512527,0.5067542341535423,340042
novel,default,gpt2-medium,allenai_OLMo-2-1124-7B,GPT-2,OLMo,False,0.4826739967147996,0.44189838332094455,0.4670057188606558,340042
novel,default,gpt2-medium,meta-llama_Llama-3.2-1B,GPT-2,Llama,False,0.4162254486955018,0.38749742778582036,0.40862745036174014,340042
novel,default,gpt2-medium,meta-llama_Meta-Llama-3-8B,GPT-2,Llama,False,0.3698471674978492,0.3568822244291761,0.359254971669685,340042
novel,default,gpt2-large,gpt2-xl,GPT-2,GPT-2,True,0.8411889717258855,0.789154887507212,0.8363533345173687,340042
novel,default,gpt2-large,EleutherAI_pythia-160m,GPT-2,Pythia,False,0.546018405855915,0.5072990557572503,0.530111598107438,340042
novel,default,gpt2-large,EleutherAI_pythia-410m,GPT-2,Pythia,False,0.62106516439342,0.5769328611345418,0.6082651966671775,340042
novel,default,gpt2-large,EleutherAI_pythia-1b,GPT-2,Pythia,False,0.6304773047901455,0.5817104356306615,0.6177609058378554,340042
novel,default,gpt2-large,allenai_OLMo-1B-hf,GPT-2,OLMo,False,0.6164289254971506,0.56441181507636,0.6058816542100275,340042
novel,default,gpt2-large,allenai_OLMo-7B-hf,GPT-2,OLMo,False,0.6007581955637898,0.5460739268046318,0.5890042496060821,340042
novel,default,gpt2-large,allenai_OLMo-2-0425-1B,GPT-2,OLMo,False,0.5634077006166365,0.5119795920664314,0.550300226931723,340042
novel,default,gpt2-large,allenai_OLMo-2-1124-7B,GPT-2,OLMo,False,0.5287744738387739,0.4758070241423265,0.5145047333900694,340042
novel,default,gpt2-large,meta-llama_Llama-3.2-1B,GPT-2,Llama,False,0.47865331340237394,0.42977456134881525,0.47275662943122204,340042
novel,default,gpt2-large,meta-llama_Meta-Llama-3-8B,GPT-2,Llama,False,0.42218735729752765,0.3905514511678404,0.4130360879918902,340042
novel,default,gpt2-xl,EleutherAI_pythia-160m,GPT-2,Pythia,False,0.523686826647787,0.48683065219384064,0.5074091566699086,340042
novel,default,gpt2-xl,EleutherAI_pythia-410m,GPT-2,Pythia,False,0.6137428909933066,0.5679492420815273,0.6010293356099505,340042
novel,default,gpt2-xl,EleutherAI_pythia-1b,GPT-2,Pythia,False,0.6355988245402228,0.5850324696997271,0.6234099325110454,340042
novel,default,gpt2-xl,allenai_OLMo-1B-hf,GPT-2,OLMo,False,0.6299493423809464,0.5762714188851451,0.6199593213382588,340042
novel,default,gpt2-xl,allenai_OLMo-7B-hf,GPT-2,OLMo,False,0.621349776146574,0.5644487218186748,0.6104305952558341,340042
novel,default,gpt2-xl,allenai_OLMo-2-0425-1B,GPT-2,OLMo,False,0.5835436126111553,0.528273186768926,0.5713048050317315,340042
novel,default,gpt2-xl,allenai_OLMo-2-1124-7B,GPT-2,OLMo,False,0.5552025054543385,0.49612103338634655,0.5420178228922721,340042
novel,default,gpt2-xl,meta-llama_Llama-3.2-1B,GPT-2,Llama,False,0.515553898394096,0.4532626063001024,0.5104347102596212,340042
novel,default,gpt2-xl,meta-llama_Meta-Llama-3-8B,GPT-2,Llama,False,0.4581396995490999,0.41386780911414095,0.4498627426284848,340042
novel,default,EleutherAI_pythia-160m,EleutherAI_pythia-410m,Pythia,Pythia,True,0.7376992405544975,0.6631671570406162,0.7274839067783311,340042
novel,default,EleutherAI_pythia-160m,EleutherAI_pythia-1b,Pythia,Pythia,True,0.6938546734538033,0.6228217338278002,0.6815502940693514,340042
novel,default,EleutherAI_pythia-160m,allenai_OLMo-1B-hf,Pythia,OLMo,False,0.6480367394113268,0.5760580407537288,0.6377504074974952,340042
novel,default,EleutherAI_pythia-160m,allenai_OLMo-7B-hf,Pythia,OLMo,False,0.6127355959623539,0.5520591799842639,0.6003906420521088,340042
novel,default,EleutherAI_pythia-160m,allenai_OLMo-2-0425-1B,Pythia,OLMo,False,0.4768271195953281,0.43413353216439343,0.45917910423375846,340042
novel,default,EleutherAI_pythia-160m,allenai_OLMo-2-1124-7B,Pythia,OLMo,False,0.44093623291385586,0.40810651927733355,0.42198561276166185,340042
novel,default,EleutherAI_pythia-160m,meta-llama_Llama-3.2-1B,Pythia,Llama,False,0.3113028702152075,0.3095227430604934,0.30191935666717107,340042
novel,default,EleutherAI_pythia-160m,meta-llama_Meta-Llama-3-8B,Pythia,Llama,False,0.27855840445456764,0.29046106210217515,0.26570095068636607,340042
novel,default,EleutherAI_pythia-410m,EleutherAI_pythia-1b,Pythia,Pythia,True,0.7925461121443743,0.7250525714866479,0.7845771234457578,340042
novel,default,EleutherAI_pythia-410m,allenai_OLMo-1B-hf,Pythia,OLMo,False,0.7358256315463004,0.66314625466329,0.7284446865609582,340042
novel,default,EleutherAI_pythia-410m,allenai_OLMo-7B-hf,Pythia,OLMo,False,0.7011578587847263,0.6325336020440073,0.6920144563363414,340042
novel,default,EleutherAI_pythia-410m,allenai_OLMo-2-0425-1B,Pythia,OLMo,False,0.5682979743356984,0.51420244590495,0.5542840529207292,340042
novel,default,EleutherAI_pythia-410m,allenai_OLMo-2-1124-7B,Pythia,OLMo,False,0.5339781392388268,0.48056689417225223,0.5187775930942001,340042
novel,default,EleutherAI_pythia-410m,meta-llama_Llama-3.2-1B,Pythia,Llama,False,0.4468837181255141,0.4067719851947712,0.44085922888302836,340042
novel,default,EleutherAI_pythia-410m,meta-llama_Meta-Llama-3-8B,Pythia,Llama,False,0.3962206545021656,0.3726967822666273,0.38655382193573706,340042
novel,default,EleutherAI_pythia-1b,allenai_OLMo-1B-hf,Pythia,OLMo,False,0.7604329675053041,0.6904126152632953,0.7538801221215343,340042
novel,default,EleutherAI_pythia-1b,allenai_OLMo-7B-hf,Pythia,OLMo,False,0.7373337948941502,0.6703684047625232,0.7293999587884803,340042
novel,default,EleutherAI_pythia-1b,allenai_OLMo-2-0425-1B,Pythia,OLMo,False,0.6077383980621054,0.5497322344821797,0.5948012209819238,340042
novel,default,EleutherAI_pythia-1b,allenai_OLMo-2-1124-7B,Pythia,OLMo,False,0.5822605440950611,0.52210987959437,0.5684528398113369,340042
novel,default,EleutherAI_pythia-1b,meta-llama_Llama-3.2-1B,Pythia,Llama,False,0.504310668883348,0.4523772720388711,0.5001050136092315,340042
novel,default,EleutherAI_pythia-1b,meta-llama_Meta-Llama-3-8B,Pythia,Llama,False,0.4531361946899062,0.4193602367891816,0.4451297560306373,340042
novel,default,allenai_OLMo-1B-hf,allenai_OLMo-7B-hf,OLMo,OLMo,True,0.7996176081074864,0.7386544468859323,0.7942988616265446,340042
novel,default,allenai_OLMo-1B-hf,allenai_OLMo-2-0425-1B,OLMo,OLMo,True,0.6115335834167693,0.5586863892803736,0.60118206758905,340042
