item_set,condition,scope,n_model_pairs,n_pairs,mean_r,median_r,min_r,max_r,mean_r_resid,shuffled_null_r
attested,default,all pairs of models,120,48950,0.5832221631899256,0.6344307445886812,0.34305943821652163,0.8398557896964908,0.5615619662016018,-0.0025207938593017187
attested,default,within family,19,48950,0.7211694998736223,0.7437031202769601,0.4641490952874453,0.8398557896964908,0.706429683143552,-0.0025207938593017187
attested,default,between family,101,48950,0.5572716741108144,0.5956730705901513,0.34305943821652163,0.7691171573545539,0.5343096234105419,-0.0025207938593017187
attested,default,within BabyLM,3,48950,0.5530511565225441,0.4978558461828191,0.4641490952874453,0.6971485280973678,0.5309225256597736,-0.0025207938593017187
attested,default,within GPT-2,6,48950,0.7768152192223523,0.7842177936789525,0.6937588581706948,0.8398557896964908,0.7657726305737222,-0.0025207938593017187
attested,default,within Llama,1,48950,0.7578504041851757,0.7578504041851757,0.7578504041851757,0.7578504041851757,0.7447770480745666,-0.0025207938593017187
attested,default,within OLMo,6,48950,0.7469173198034399,0.7498152940324155,0.6900249953810801,0.7901747633255045,0.7319327594144438,-0.0025207938593017187
attested,default,within Pythia,3,48950,0.7142737965637544,0.6925507858663175,0.6620793019641202,0.7881913018608255,0.6994623382482019,-0.0025207938593017187
attested,attn_zeroed,all pairs of models,120,48950,0.47047002167646734,0.4576113095635409,0.18944408715190642,0.792614470821634,0.47181556594051355,-0.0027180202077518208
attested,attn_zeroed,within family,19,48950,0.6797557684825959,0.6952226989187384,0.4223620740767401,0.792614470821634,0.6764760691258761,-0.0027180202077518208
attested,attn_zeroed,between family,101,48950,0.43109943564363135,0.4113011485218803,0.18944408715190642,0.6942055746844018,0.433315075242277,-0.0027180202077518208
attested,attn_zeroed,within BabyLM,3,48950,0.5084635207285025,0.4402575142580717,0.4223620740767401,0.6627709738506958,0.49069488577428144,-0.0027180202077518208
attested,attn_zeroed,within GPT-2,6,48950,0.7523003026937353,0.7674178362130127,0.6952226989187384,0.792614470821634,0.7515368360153976,-0.0027180202077518208
attested,attn_zeroed,within Llama,1,48950,0.7239334786608956,0.7239334786608956,0.7239334786608956,0.7239334786608956,0.7218129403897495,-0.0027180202077518208
attested,attn_zeroed,within OLMo,6,48950,0.6952635723305373,0.6863146982885591,0.6313831353097153,0.7575949204364992,0.6927755009874336,-0.0027180202077518208
attested,attn_zeroed,within Pythia,3,48950,0.6602174367257608,0.6632824134045461,0.6006486569964762,0.7167212397762603,0.6644245645540224,-0.0027180202077518208
novel,default,all pairs of models,120,340042,0.4470682195827267,0.49860572765631184,0.14510477345739625,0.8411889717258855,0.43583867123261333,-0.0016699576956126193
novel,default,within family,19,340042,0.6792682954900717,0.7079269772717818,0.3637780512102553,0.8411889717258855,0.6714782267547248,-0.0016699576956126193
novel,default,between family,101,340042,0.40338701718431524,0.4531361946899062,0.14510477345739625,0.7604329675053041,0.39151043801558244,-0.0016699576956126193
novel,default,within BabyLM,3,340042,0.45210346398206197,0.36716415482453346,0.3637780512102553,0.6253681859113972,0.44855841544374214,-0.0016699576956126193
novel,default,within GPT-2,6,340042,0.7582870300016827,0.7573627104217697,0.6637099545508155,0.8411889717258855,0.7500510881080635,-0.0016699576956126193
novel,default,within Llama,1,340042,0.7116955576585905,0.7116955576585905,0.7116955576585905,0.7116955576585905,0.7079772040442528,-0.0016699576956126193
novel,default,within OLMo,6,340042,0.677378243090636,0.6321781820085117,0.5972065579390864,0.7996176081074864,0.6684193341704115,-0.0016699576956126193
novel,default,within Pythia,3,340042,0.7413666753842251,0.7376992405544975,0.6938546734538033,0.7925461121443743,0.7312037747644801,-0.0016699576956126193
novel,attn_zeroed,all pairs of models,120,340042,0.3459937447431869,0.2356154318817208,0.07168024255298286,0.8199451254935096,0.34945798435133263,0.0002829467962578639
novel,attn_zeroed,within family,19,340042,0.6832447784851401,0.7309424219672572,0.3214600975766017,0.8199451254935096,0.6789953597052064,0.0002829467962578639
novel,attn_zeroed,between family,101,340042,0.2825504809699481,0.20910258711496982,0.07168024255298286,0.7557858129708517,0.28746580482931666,0.0002829467962578639
novel,attn_zeroed,within BabyLM,3,340042,0.40818592303115014,0.34122886968239846,0.3214600975766017,0.5618688018344502,0.4047941084774615,0.0002829467962578639
novel,attn_zeroed,within GPT-2,6,340042,0.784916194785643,0.7915386243923566,0.7309424219672572,0.8124053051004785,0.7738531081325183,0.0002829467962578639
novel,attn_zeroed,within Llama,1,340042,0.7244557740084206,0.7244557740084206,0.7244557740084206,0.7244557740084206,0.7226101842286796,0.0002829467962578639
novel,attn_zeroed,within OLMo,6,340042,0.6798575470108718,0.6255822162494773,0.5934063617633738,0.8199451254935096,0.6784601906565778,0.0002829467962578639
novel,attn_zeroed,within Pythia,3,340042,0.7479982657789015,0.7583753462734958,0.7013984087155942,0.7842210423476143,0.7500131773344276,0.0002829467962578639
