fold,n_test,r,r2,acc
1,34005,-0.007318,5.4e-05,0.498309
2,34005,-0.006217,3.9e-05,0.500368
3,34004,-0.004397,1.9e-05,0.500118
4,34004,-0.010255,0.000105,0.494971
5,34004,0.007528,5.7e-05,0.503676
6,34004,-0.006159,3.8e-05,0.502059
7,34004,-0.000746,1e-06,0.497824
8,34004,0.003063,9e-06,0.502764
9,34004,-0.002883,8e-06,0.497118
10,34004,0.007257,5.3e-05,0.49853
