fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.469886,0.220793,0.3674,0.134983,0.325105,0.599158,29
1,271560,3838,0.459681,0.211306,0.35655,0.127128,0.328465,0.615685,27
2,273072,3787,0.457393,0.209208,0.369836,0.136779,0.323108,0.599419,35
3,277277,3203,0.450939,0.203346,0.300459,0.090276,0.282683,0.613175,24
4,273362,3746,0.454592,0.206653,0.35504,0.126053,0.338955,0.610785,25
5,275538,3408,0.481733,0.232067,0.317246,0.100645,0.297992,0.59331,32
6,272895,3839,0.512541,0.262699,0.276759,0.076595,0.253183,0.584788,48
7,278245,3162,0.464499,0.215759,0.356551,0.127128,0.319284,0.598355,28
8,276139,3294,0.473807,0.224493,0.353065,0.124655,0.333526,0.615361,30
9,277479,3174,0.453218,0.205407,0.374249,0.140063,0.325779,0.60649,25
