fold,n_test,r,r2,acc
1,34005,0.410103,0.168185,0.62629
2,34005,0.409118,0.167377,0.618644
3,34004,0.413213,0.170745,0.616486
4,34004,0.415391,0.17255,0.619339
5,34004,0.404994,0.16402,0.61731
6,34004,0.408238,0.166658,0.618515
7,34004,0.411795,0.169575,0.618368
8,34004,0.401058,0.160848,0.617074
9,34004,0.40652,0.165259,0.617751
10,34004,0.413287,0.170806,0.623191
