fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,279306,3086,0.0518,0.002683,0.025855,0.000668,0.02177,0.502268,24
1,271560,3838,0.02499,0.000624,-0.017575,0.000309,-0.018727,0.490881,21
2,273072,3787,0.045918,0.002108,0.019787,0.000392,0.010907,0.499604,25
3,277277,3203,0.03893,0.001516,0.044777,0.002005,0.024462,0.517952,22
4,273362,3746,0.052896,0.002798,0.006165,3.8e-05,0.000822,0.501335,24
5,275538,3408,0.024785,0.000614,-0.005533,3.1e-05,-0.009854,0.487676,21
6,272895,3839,0.020148,0.000406,-0.010317,0.000106,-0.006489,0.5056,21
7,278245,3162,0.058652,0.00344,0.015013,0.000225,0.013385,0.517078,25
8,276139,3294,0.038179,0.001458,0.00223,5e-06,0.003153,0.500304,23
9,277479,3174,0.04229,0.001788,-0.032535,0.001059,-0.018888,0.496534,23
