fold,n_train,n_test,r,r2,acc
1,40166,493,-0.061384,0.003768,0.452333
2,40129,499,-0.040579,0.001647,0.513026
3,39267,606,0.05435,0.002954,0.513201
4,39663,515,0.089054,0.007931,0.530097
5,39495,529,0.026192,0.000686,0.521739
6,39622,526,0.015144,0.000229,0.555133
7,38849,632,-0.027051,0.000732,0.466772
8,39802,470,0.001281,2e-06,0.502128
9,39986,528,-0.008264,6.8e-05,0.496212
10,39933,514,-0.027459,0.000754,0.468872
