fold,n_train,n_test,train_r,train_r2,test_r,test_r2,test_rho,test_acc,stopped_epoch
0,40166,493,0.194202,0.037714,0.004448,2e-05,-0.002541,0.482759,23
1,40129,499,0.098948,0.009791,-0.041962,0.001761,-0.061823,0.438878,21
2,39267,606,0.140173,0.019648,0.040895,0.001672,0.025905,0.506601,22
3,39663,515,0.157532,0.024816,0.009411,8.9e-05,0.027665,0.516505,22
4,39495,529,0.089913,0.008084,0.012565,0.000158,0.004904,0.499055,21
5,39622,526,0.087706,0.007692,-0.021168,0.000448,0.001817,0.539924,21
6,38849,632,0.119932,0.014384,0.011718,0.000137,0.026005,0.490506,22
7,39802,470,0.099219,0.009844,0.042386,0.001797,0.014181,0.512766,21
8,39986,528,0.134433,0.018072,0.037782,0.001427,0.03186,0.534091,22
9,39933,514,0.101462,0.010295,-0.090732,0.008232,-0.113769,0.466926,21
